personnage;mentions_total;mentions_SKN;mentions_VGR;sermons;top5
gedeon;43;37;6;12;"61-1231E(18);62-0124(9);62-1014M(2);55-0724(2);63-0324M(2)"
apollos;42;28;14;24;"59-0628E(4);57-1002(4);57-0925(4);53-0729(4);59-1216(2)"
priscille;31;18;13;13;"61-1217(8);59-1216(4);62-0601(2);61-0808(2);62-0610M(2)"
esther;28;15;13;7;"62-0121E(17);65-0815(4);65-0221M(2);62-0531(2);55-1008(1)"
herodias;27;16;11;15;"63-1110M(4);60-1211E(2);56-0715(2);64-0313(2);65-0801E(2)"
barnabas;24;22;2;21;"64-0719M(2);55-0117(2);62-0714(2);62-0705(1);55-1116(1)"
osee;16;8;8;2;"64-0726M(14);60-1211E(2)"
jonathan;14;7;7;8;"62-0513M(4);63-0630E(2);60-0515M(2);61-1015M(2);53-0829(1)"
lydie;13;9;4;8;"54-0103M(2);62-0608(2);57-0120M(2);59-1219(2);60-1206(2)"
philemon;9;4;5;2;"63-0717(7);63-0728(2)"
rachel;8;8;0;7;"56-0414(2);58-0112A(1);63-1216(1);60-1002(1);63-1222(1)"
mardochee;7;3;4;4;"62-0121E(4);56-0218M(1);58-1221E(1);54-0330(1)"
esdras;6;5;1;3;"56-1125E(4);65-0117(1);57-0105(1)"
tite;6;3;3;3;"64-0823E(2);64-0802(2);61-0723E(2)"
habacuc;3;3;0;1;64-0830M(3)
sail;2;2;0;2;"61-0207(1);57-0125(1)"
nehemie;2;1;1;1;61-0730M(2)
debora;1;1;0;1;61-1231E(1)
jeanbaptiste;1;0;1;1;62-0318M(1)
zacchee;1;1;0;1;56-0513(1)
aggee;0;0;0;0;
onesime;0;0;0;0;
