livre;chapitre;verset_de;verset_a;traduction;code;paragraphe
2 Chroniques;18;22;27;SKN;56-1002A;4
2 Chroniques;18;22;27;SKN;56-1002A;5
2 Chroniques;22;0;0;SKN;63-1128M;134
2 Chroniques;26;0;0;SKN;62-1013;63
2 Chroniques;26;0;0;SKN;64-0315;74
2 Chroniques;26;0;0;SKN;64-0315;82
2 Corinthiens;3;0;0;SKN;64-0614M;16
2 Corinthiens;5;17;17;SKN;54-0719E;3
2 Corinthiens;6;7;10;SKN;62-0506;36
2 Corinthiens;9;0;0;SKN;63-1128M;14
2 Pierre;1;0;0;SKN;62-1104M;61
2 Pierre;1;7;7;SKN;62-1124E;37
2 Pierre;2;4;2;SKN;57-1006;610
2 Pierre;2;4;4;SKN;57-1006;613
2 Pierre;3;0;0;SKN;64-0802;40
2 Pierre;4;0;0;SKN;57-1006;619
2 Samuel;6;14;14;SKN;63-0321;100
2 Thessaloniciens;2;3;3;SKN;63-0319;104
2 Thessaloniciens;2;3;3;SKN;63-0319;267
2 Thessaloniciens;2;7;7;SKN;63-0318;84
2 Thessaloniciens;2;9;9;SKN;63-0318;310
2 Timothee;2;0;0;SKN;60-1218;213
2 Timothee;2;4;4;SKN;62-0908;145
2 Timothee;2;16;16;SKN;54-0103E;136
2 Timothee;3;0;0;SKN;58-0109;20
2 Timothee;3;0;0;SKN;61-0117;35
2 Timothee;3;0;0;SKN;62-0401;290
2 Timothee;3;0;0;SKN;62-1111E;196
2 Timothee;3;0;0;SKN;63-0320;197
2 Timothee;3;0;0;SKN;63-0412M;102
2 Timothee;3;0;0;SKN;63-0707M;325
2 Timothee;3;0;0;SKN;63-1115;179
2 Timothee;3;0;0;SKN;63-1201E;58
2 Timothee;3;0;0;SKN;64-0726M;163
2 Timothee;3;0;0;SKN;64-0726M;165
2 Timothee;3;1;1;SKN;62-0603;30
2 Timothee;4;0;0;SKN;57-0120M;13
2 Timothee;4;0;0;SKN;57-0126B;57
2 Timothee;4;0;0;SKN;62-0908;13
2 Timothee;4;0;0;SKN;62-0908;14
2 Timothee;4;0;0;SKN;62-0908;145
2 Timothee;4;0;0;SKN;62-1104M;236
2 Timothee;4;0;0;SKN;64-0830E;122
2 Timothee;4;2;2;SKN;62-0908;13
Actes;1;0;0;SKN;50-0716;64
Actes;1;0;0;SKN;54-0515;101
Actes;1;0;0;SKN;60-0911E;77
Actes;1;0;0;VGR;54-0515;101
Actes;1;0;0;VGR;59-1219;53
Actes;1;0;0;VGR;60-0911E;77
Actes;1;8;8;SKN;53-0613;14
Actes;1;8;8;SKN;53-1111;14
Actes;1;8;8;SKN;54-0515;90
Actes;1;8;8;SKN;54-0724;8
Actes;1;8;8;SKN;56-1125M;114
