livre;chapitre;verset_de;verset_a;traduction;code;paragraphe
Esaie;9;6;6;VGR;61-0425B;137
Esaie;9;6;6;VGR;62-0318M;403
Esaie;9;6;6;VGR;62-0318M;418
Esaie;9;6;6;VGR;62-0601;223
Esaie;9;6;6;VGR;62-1124B;108
Esaie;9;6;6;VGR;63-0324E;99
Esaie;9;6;6;VGR;63-1124M;84
Esaie;9;6;6;VGR;63-1201M;64
Esaie;9;6;6;VGR;64-0802;486
Esaie;9;6;6;VGR;64-0816;142
Esaie;9;6;6;VGR;65-0429B;104
Esaie;9;6;6;VGR;65-0801E;44
Esaie;9;6;6;VGR;65-0801E;105
Esaie;9;6;6;VGR;65-0911;215
Esaie;9;6;6;VGR;65-0911;219
Esaie;9;6;6;VGR;65-1031M;284
Esaie;9;6;6;VGR;65-1031M;285
Esaie;9;6;6;VGR;65-1206;258
Esaie;9;6;6;VGR;65-1206;282
Esaie;10;0;0;SKN;60-0803;57
Esaie;11;0;0;SKN;61-0730E;132
Esaie;11;0;0;VGR;61-0730E;132
Esaie;14;0;0;SKN;65-0801M;77
Esaie;14;0;0;SKN;65-0829;38
Esaie;14;0;0;SKN;65-0911;70
Esaie;14;0;0;VGR;65-0801M;77
Esaie;14;0;0;VGR;65-0829;62
Esaie;14;0;0;VGR;65-0911;105
Esaie;14;12;12;SKN;59-0628E;66
Esaie;14;12;12;SKN;65-0801M;77
Esaie;14;12;12;SKN;65-0911;67
Esaie;14;12;12;SKN;65-1031M;205
Esaie;14;12;12;VGR;59-0628E;66
Esaie;14;12;12;VGR;65-0801M;77
Esaie;14;12;12;VGR;65-0911;100
Esaie;14;12;12;VGR;65-1031M;205
Esaie;18;0;0;SKN;64-0719M;17
Esaie;18;0;0;VGR;64-0719M;21
Esaie;18;1;1;SKN;64-0719M;207
Esaie;18;1;1;VGR;64-0719M;283
Esaie;21;0;0;SKN;60-0303;11
Esaie;21;1;12;SKN;58-1130;1
Esaie;21;1;12;VGR;58-1130;1
Esaie;21;11;11;SKN;60-0303;11
Esaie;27;0;0;SKN;64-0719M;17
Esaie;27;0;0;VGR;64-0719M;21
Esaie;27;12;12;SKN;64-0719M;23
Esaie;27;12;12;SKN;64-0719M;208
Esaie;27;12;12;VGR;64-0719M;30
Esaie;27;12;12;VGR;64-0719M;283
Esaie;28;0;0;SKN;53-0327;48
Esaie;28;0;0;SKN;53-0729;139
Esaie;28;0;0;SKN;53-0729;165
Esaie;28;0;0;SKN;59-1216;67
Esaie;28;0;0;SKN;60-1204E;119
Esaie;28;0;0;SKN;61-0112;98
Esaie;28;0;0;SKN;61-1001E;170
Esaie;28;0;0;SKN;65-1212;34
Esaie;28;0;0;SKN;65-1212;35
Esaie;28;0;0;VGR;53-0729;139
Esaie;28;0;0;VGR;53-0729;165
Esaie;28;0;0;VGR;59-1216;67
Esaie;28;0;0;VGR;60-1204E;108
Esaie;28;0;0;VGR;61-0112;98
Esaie;28;0;0;VGR;65-1212;34
Esaie;28;0;0;VGR;65-1212;35
Esaie;28;8;8;SKN;55-1008;39
Esaie;28;8;8;SKN;60-1204E;119
Esaie;28;8;8;VGR;60-1204E;108
Esaie;28;8;12;SKN;61-0217;62
Esaie;28;11;11;SKN;60-0626;225
Esaie;28;11;11;SKN;61-1105;138
Esaie;28;11;11;SKN;62-0117;220
Esaie;28;18;18;SKN;54-0720A;66
Esaie;28;18;18;SKN;60-0518;124
Esaie;28;18;18;SKN;61-1001E;170
Esaie;28;18;18;SKN;62-0128M;36
Esaie;28;18;18;VGR;60-0518;124
Esaie;28;18;18;VGR;60-0626;220
Esaie;28;19;19;SKN;62-0124;70
Esaie;28;19;19;SKN;62-0521;99
Esaie;28;19;19;SKN;62-1014M;215
Esaie;28;19;19;SKN;63-0321;73
Esaie;28;19;19;SKN;63-0803B;184
Esaie;28;19;19;SKN;63-1128E;26
Esaie;28;19;19;VGR;62-1014M;295
Esaie;28;19;19;VGR;63-0321;73
Esaie;28;19;19;VGR;63-0803B;184
Esaie;29;6;6;SKN;65-0725E;97
Esaie;32;0;0;SKN;65-0123;184
Esaie;32;0;0;VGR;65-0123;186
Esaie;32;2;2;SKN;62-0513E;25
Esaie;32;2;2;SKN;62-0518;13
Esaie;32;2;2;SKN;62-0609E;9
Esaie;32;2;2;SKN;62-0622B;21
Esaie;32;2;2;SKN;63-0113M;16
Esaie;32;2;2;VGR;63-0113M;37
Esaie;35;0;0;SKN;52-0900;7
Esaie;35;0;0;SKN;53-0607E;5
Esaie;35;0;0;SKN;60-0626;249
Esaie;35;0;0;SKN;60-1204E;102
Esaie;35;0;0;SKN;61-0207;45
Esaie;35;0;0;SKN;61-0425B;39
Esaie;35;0;0;SKN;63-0317M;122
Esaie;35;0;0;SKN;63-0322;56
Esaie;35;0;0;SKN;63-0412E;86
Esaie;35;0;0;SKN;63-0606;21
Esaie;35;0;0;SKN;63-1124E;34
Esaie;35;0;0;SKN;63-1128E;26
Esaie;35;0;0;SKN;64-0308;76
Esaie;35;0;0;SKN;64-0313;98
Esaie;35;0;0;SKN;65-1212;34
Esaie;35;0;0;VGR;52-0900;7
Esaie;35;0;0;VGR;60-0626;244
Esaie;35;0;0;VGR;60-1204E;95
Esaie;35;0;0;VGR;61-0425B;39
Esaie;35;0;0;VGR;63-0317M;122
Esaie;35;0;0;VGR;63-0322;56
Esaie;35;0;0;VGR;63-1124E;49
Esaie;35;0;0;VGR;64-0308;76
Esaie;35;0;0;VGR;64-0313;168
Esaie;35;0;0;VGR;65-1212;34
Esaie;35;7;7;SKN;65-1206;282
Esaie;35;7;7;VGR;65-1206;282
Esaie;38;0;0;SKN;63-0724;27
Esaie;38;0;0;VGR;63-0724;27
Esaie;40;0;0;SKN;50-0409;3
Esaie;40;0;0;SKN;56-1002A;52
Esaie;40;0;0;SKN;61-0117;41
Esaie;40;0;0;SKN;61-0129;53
Esaie;40;0;0;SKN;62-1216;59
Esaie;40;0;0;SKN;63-0120M;15
Esaie;40;0;0;SKN;63-0317M;297
Esaie;40;0;0;SKN;64-0404;71
Esaie;40;0;0;SKN;65-0219;115
Esaie;40;0;0;SKN;65-0725E;74
Esaie;40;0;0;VGR;63-0120M;15
Esaie;40;0;0;VGR;63-0317M;297
Esaie;40;0;0;VGR;65-0219;115
Esaie;40;0;0;VGR;65-0725E;74
Esaie;40;3;3;SKN;61-1112;179
Esaie;40;3;3;SKN;65-0801E;91
Esaie;40;3;3;SKN;65-0801E;95
Esaie;40;3;3;SKN;65-1206;222
Esaie;40;3;3;VGR;61-1112;179
Esaie;40;3;3;VGR;65-0801E;91
Esaie;40;3;3;VGR;65-0801E;95
Esaie;40;3;3;VGR;65-1206;222
Esaie;42;0;0;SKN;61-1224;43
Esaie;42;1;7;SKN;64-0125;15
Esaie;42;1;7;VGR;64-0125;15
Esaie;45;0;0;SKN;64-0122;2
Esaie;45;0;0;SKN;64-0122;4
Esaie;45;22;22;SKN;63-1229E;101
Esaie;45;22;22;VGR;63-1229E;192
Esaie;50;0;0;SKN;62-1124E;56
Esaie;50;6;6;SKN;65-0801E;122
Esaie;50;6;6;SKN;65-1206;282
Esaie;50;6;6;VGR;65-0801E;122
Esaie;50;6;6;VGR;65-1206;282
Esaie;53;0;0;SKN;50-0824;11
Esaie;53;0;0;SKN;51-0503;29
Esaie;53;0;0;SKN;51-0729E;28
Esaie;53;0;0;SKN;53-0403;36
Esaie;53;0;0;SKN;65-0221M;99
Esaie;53;0;0;SKN;65-1128E;133
Esaie;53;0;0;VGR;51-0503;84
Esaie;53;0;0;VGR;53-0403;36
Esaie;53;0;0;VGR;65-0221M;132
Esaie;53;0;0;VGR;65-1128E;133
Esaie;53;1;1;SKN;65-0822M;124
Esaie;53;1;1;VGR;65-0822M;124
Esaie;53;2;2;SKN;65-0429E;20
Esaie;53;2;2;VGR;65-0429E;180
Esaie;53;5;5;SKN;62-1124E;47
Esaie;53;5;5;SKN;62-1223;69
Esaie;53;5;5;SKN;63-1028;65
Esaie;53;5;5;VGR;62-1223;97
Esaie;53;5;5;VGR;63-1028;162
Esaie;53;6;6;SKN;64-1221;176
Esaie;53;6;6;VGR;64-1221;176
Esaie;53;7;7;SKN;65-0801E;122
Esaie;53;7;7;VGR;65-0801E;122
Esaie;53;9;9;SKN;65-0801E;122
Esaie;53;9;9;SKN;65-1206;282
Esaie;53;9;9;VGR;65-0801E;122
Esaie;53;9;9;VGR;65-1206;282
Esaie;53;12;12;SKN;65-0801E;122
Esaie;53;12;12;SKN;65-1206;282
Esaie;53;12;12;VGR;65-0801E;122
Esaie;53;12;12;VGR;65-1206;282
Esaie;54;1;1;SKN;62-0318E;1
Esaie;54;1;1;VGR;62-0318M;403
Esaie;54;53;53;SKN;62-0318E;1
Esaie;54;53;53;VGR;62-0318M;403
Esaie;60;0;0;SKN;64-0112;29
Esaie;60;0;0;SKN;65-1212;34
Esaie;60;0;0;VGR;64-0112;29
Esaie;60;0;0;VGR;65-1212;34
Esaie;60;1;1;SKN;64-0112;115
Esaie;60;1;1;SKN;64-0119;89
Esaie;60;1;1;VGR;64-0112;29
Esaie;60;1;1;VGR;64-0112;115
Esaie;61;0;0;SKN;55-0410M;37
Esaie;61;0;0;SKN;65-0125;23
Esaie;61;0;0;SKN;65-0219;43
Esaie;61;0;0;SKN;65-0219;44
Esaie;61;0;0;VGR;55-0410M;37
Esaie;61;0;0;VGR;65-0125;39
Esaie;61;0;0;VGR;65-0219;43
Esaie;61;1;1;SKN;56-0715;21
Esaie;61;1;1;SKN;62-0908;36
Esaie;61;1;1;SKN;65-0125;24
Esaie;61;1;1;VGR;56-0715;52
Esaie;61;1;1;VGR;62-0908;36
Esaie;61;1;1;VGR;65-0219;44
Esaie;61;1;2;SKN;65-0219;44
Esaie;62;0;0;SKN;64-0112;29
Esaie;62;0;0;VGR;64-0112;29
Esaie;65;0;0;SKN;61-0730E;130
Esaie;65;0;0;SKN;61-0730E;131
Esaie;65;0;0;SKN;63-0803E;167
Esaie;65;0;0;SKN;64-0802;60
Esaie;65;0;0;VGR;61-0730E;130
Esaie;65;0;0;VGR;61-0730E;131
Esaie;65;0;0;VGR;64-0802;60
Esaie;65;17;17;SKN;64-0802;60
Esaie;65;17;17;VGR;64-0802;60
Esaie;65;25;25;SKN;64-0802;354
Esaie;65;25;25;VGR;64-0802;381
Esaie;66;0;0;SKN;60-0518;78
Esaie;66;0;0;VGR;60-0518;78
Esther;2;0;0;SKN;57-0915E;194
Esther;2;0;0;SKN;57-1006;615
Esther;2;0;0;SKN;61-1231M;121
Esther;2;0;0;SKN;63-0728;637
Esther;4;0;0;SKN;60-0803;47
Esther;6;0;0;SKN;55-0807E;34
Esther;6;0;0;SKN;57-1002;354
Esther;6;0;0;SKN;60-1204E;158
Esther;7;7;7;SKN;61-0122;54
Esther;8;0;0;SKN;60-1204E;158
Esther;8;0;0;VGR;63-0317M;42
Esther;9;0;0;SKN;59-1115;52
Esther;9;0;0;SKN;60-0911E;161
Esther;9;0;0;SKN;65-1127E;195
Esther;10;0;0;SKN;61-0429E;5
Esther;10;0;0;SKN;62-0724;92
Esther;10;0;0;SKN;63-0801;179
Esther;11;0;0;SKN;49-1225;147
Esther;11;0;0;SKN;55-0806;68
Esther;11;0;0;SKN;55-1003;21
Esther;11;0;0;SKN;62-0622B;39
Esther;11;0;0;SKN;63-1214;163
Esther;12;0;0;SKN;61-0205M;57
Esther;12;0;0;SKN;62-0128M;64
Esther;12;0;0;SKN;62-0610M;108
Esther;14;0;0;SKN;47-1123;5
Esther;14;0;0;SKN;60-0522E;44
Esther;14;0;0;SKN;62-0318E;1
Esther;14;0;0;SKN;62-0721;4
Esther;16;0;0;SKN;57-0127A;72
Esther;16;0;0;SKN;57-0324;91
Esther;16;0;0;SKN;59-1115;46
Esther;16;0;0;SKN;60-0717;79
Esther;16;0;0;SKN;62-0318E;1
Esther;16;0;0;SKN;62-0708;158
Esther;16;13;13;SKN;60-1210;137
Esther;20;0;0;SKN;63-1130E;26
Esther;21;0;0;SKN;57-0417;106
Esther;21;0;0;SKN;59-0422;50
Esther;21;0;0;SKN;61-0808;5
Esther;21;0;0;SKN;63-1103;198
Esther;21;0;0;SKN;64-0313;122
Esther;21;0;0;SKN;64-0617;129
Esther;21;0;0;SKN;64-0823E;249
Esther;21;0;0;SKN;65-1125;146
Esther;21;19;19;SKN;57-1006;669
Esther;22;0;0;SKN;54-0515;347
Esther;22;0;0;SKN;59-1126;73
Esther;22;0;0;SKN;61-0517;75
Esther;22;0;0;SKN;61-0808;78
Esther;22;0;0;SKN;62-0118;174
Esther;22;0;0;SKN;63-0119;267
Esther;22;0;0;SKN;63-0901E;181
Esther;23;0;0;SKN;65-1125;235
Esther;25;0;0;SKN;51-0506E;30
Esther;25;0;0;SKN;60-1211M;152
Esther;34;0;0;SKN;48-0302;86
Esther;60;0;0;SKN;56-1125M;24
Esther;85;0;0;SKN;57-0326;109
Esther;85;86;86;SKN;56-0420;51
Esther;87;0;0;SKN;54-0624;31
Esther;90;0;0;SKN;65-1206;300
Esther;92;0;0;SKN;56-0420;51
Esther;121;0;0;SKN;58-0108;144
Esther;126;0;0;SKN;58-0108;139
Exode;3;0;0;SKN;62-0909E;18
Exode;3;0;0;VGR;62-0909E;17
Exode;3;0;0;VGR;63-0630M;14
Exode;4;0;0;SKN;53-1111;13
Exode;4;14;14;SKN;61-1119;182
Exode;4;14;14;VGR;61-1119;182
Exode;4;24;24;SKN;54-0103E;79
Exode;4;24;24;VGR;54-0103E;79
Exode;5;0;0;VGR;63-0630M;29
Exode;7;0;0;VGR;63-0630M;40
Exode;9;0;0;VGR;63-0630M;51
Exode;10;21;23;SKN;63-0323;272
Exode;10;21;23;VGR;63-0323;272
Exode;11;0;0;VGR;63-0630M;65
Exode;12;0;0;SKN;53-0327;49
Exode;12;0;0;SKN;65-0220;73
Exode;12;0;0;VGR;65-0220;73
Exode;12;3;3;VGR;65-0220;73
Exode;12;3;6;SKN;65-0220;73
Exode;12;12;12;SKN;64-0208;2
Exode;12;12;12;VGR;64-0208;2
Exode;13;0;0;SKN;58-0112A;20
Exode;13;0;0;VGR;63-0630M;77
Exode;13;21;21;SKN;51-0718;49
Exode;13;21;21;SKN;62-1014E;49
Exode;13;21;21;SKN;63-0714M;23
Exode;13;21;21;VGR;62-1014E;49
Exode;13;21;21;VGR;63-0714M;21
Exode;13;22;22;SKN;63-0803B;12
Exode;13;22;22;VGR;63-0803B;12
Exode;13;31;31;SKN;63-0801;130
Exode;14;0;0;SKN;63-0714M;24
Exode;14;0;0;VGR;63-0714M;21
Exode;15;0;0;VGR;63-0630M;88
Exode;17;0;0;SKN;53-0329;46
Exode;17;0;0;VGR;63-0630M;102
Exode;19;0;0;SKN;54-1212;202
Exode;19;0;0;SKN;56-0223;65
Exode;19;0;0;SKN;56-0923;122
Exode;19;0;0;SKN;56-0930;34
Exode;19;0;0;SKN;58-0301E;26
Exode;19;0;0;SKN;60-1125;33
Exode;19;0;0;SKN;60-1206;31
Exode;19;0;0;SKN;61-0129;9
Exode;19;0;0;SKN;61-0208;18
Exode;19;0;0;SKN;61-0209;29
Exode;19;0;0;SKN;61-0217;47
Exode;19;0;0;SKN;61-0311;83
Exode;19;0;0;SKN;61-0316;14
Exode;19;0;0;SKN;61-0316;27
Exode;19;0;0;SKN;61-0316;30
Exode;19;0;0;SKN;61-0316;32
Exode;19;0;0;SKN;61-0317;6
Exode;19;0;0;SKN;61-0317;22
Exode;19;0;0;SKN;62-0705;58
Exode;19;0;0;SKN;62-0711;79
Exode;19;0;0;SKN;64-0306;144
Exode;19;0;0;SKN;64-0418E;8
Exode;19;0;0;SKN;64-0614M;129
Exode;19;0;0;SKN;65-0117;60
Exode;19;0;0;SKN;65-0822E;97
Exode;19;0;0;VGR;54-1212;202
Exode;19;0;0;VGR;60-1206;32
Exode;19;0;0;VGR;63-0630M;115
Exode;19;0;0;VGR;64-0306;144
Exode;19;0;0;VGR;64-0614M;129
Exode;19;0;0;VGR;65-0822E;97
Exode;19;4;4;SKN;65-0119;75
Exode;19;4;4;VGR;65-0119;75
Exode;19;16;16;SKN;61-0108;109
Exode;19;16;16;VGR;61-0108;109
Exode;19;19;19;SKN;62-0909E;20
Exode;19;19;19;VGR;62-0909E;18
Exode;21;0;0;VGR;63-0630M;127
Exode;21;6;6;SKN;61-0217;72
Exode;23;0;0;VGR;63-0630M;142
Exode;23;13;13;SKN;61-0101;199
Exode;23;13;13;VGR;61-0101;194
Exode;23;20;20;SKN;51-0717;6
Exode;23;20;22;VGR;53-0603;4
Exode;25;0;0;VGR;63-0630M;160
Exode;25;10;10;SKN;61-0108;304
Exode;25;10;10;VGR;61-0108;299
Exode;27;0;0;VGR;63-0630M;175
Exode;29;0;0;VGR;63-0630M;191
Exode;31;0;0;VGR;63-0630M;205
Exode;33;0;0;VGR;63-0630M;218
Exode;33;2;2;SKN;65-0221E;98
Exode;33;2;2;VGR;65-0221E;98
Exode;34;12;12;SKN;62-0603;30
Exode;35;0;0;VGR;63-0630M;231
Exode;37;0;0;VGR;63-0630M;246
Exode;39;0;0;VGR;63-0630M;259
Exode;41;0;0;VGR;63-0630M;273
Exode;43;0;0;VGR;63-0630M;287
Exode;45;0;0;VGR;63-0630M;305
Ezechiel;1;0;0;SKN;61-0101;151
Ezechiel;1;0;0;VGR;61-0101;145
Ezechiel;1;8;8;SKN;61-0108;259
Ezechiel;1;8;8;VGR;61-0108;253
Ezechiel;1;26;26;SKN;61-0117;74
Ezechiel;2;1;1;SKN;64-0427;72
Ezechiel;2;1;1;VGR;64-0427;217
Ezechiel;2;3;3;SKN;64-0629;50
Ezechiel;2;3;3;VGR;64-0629;50
Ezechiel;4;0;0;SKN;59-0125;90
Ezechiel;4;0;0;SKN;60-1211M;64
Ezechiel;4;0;0;SKN;60-1211M;65
Ezechiel;4;0;0;VGR;59-0125;90
Ezechiel;4;0;0;VGR;60-1211M;61
Ezechiel;4;0;0;VGR;60-1211M;62
Ezechiel;9;0;0;SKN;54-0103M;208
Ezechiel;9;0;0;SKN;54-0514;164
Ezechiel;9;0;0;SKN;56-0213;76
Ezechiel;9;0;0;SKN;57-0925;40
Ezechiel;9;0;0;SKN;60-1211M;155
Ezechiel;9;0;0;SKN;61-0217;42
Ezechiel;9;0;0;SKN;64-0719M;152
Ezechiel;9;0;0;SKN;64-0830M;70
Ezechiel;9;0;0;SKN;65-1207;38
Ezechiel;9;0;0;VGR;54-0103M;208
Ezechiel;9;0;0;VGR;54-0514;164
Ezechiel;9;0;0;VGR;57-0925;40
Ezechiel;9;0;0;VGR;60-1211M;149
Ezechiel;9;0;0;VGR;64-0830M;70
Ezechiel;9;0;0;VGR;65-1207;320
Ezechiel;24;24;24;SKN;61-1112;24
Ezechiel;24;24;24;VGR;61-1112;25
Ezechiel;28;12;12;SKN;59-0628E;74
Ezechiel;28;12;12;SKN;59-0628E;85
Ezechiel;28;12;12;VGR;59-0628E;74
Ezechiel;28;12;12;VGR;59-0628E;85
Ezechiel;33;0;0;SKN;62-0909E;54
Ezechiel;33;0;0;VGR;62-0909E;51
Ezechiel;33;33;33;SKN;61-0212M;3
Ezechiel;37;0;0;SKN;64-0726M;54
Ezechiel;37;0;0;VGR;64-0726M;54
Ezechiel;38;0;0;SKN;61-0723E;101
Ezechiel;38;0;0;SKN;61-0723E;102
Ezechiel;38;0;0;VGR;61-0723E;101
Ezechiel;43;0;0;SKN;61-0730E;118
Ezechiel;43;0;0;VGR;61-0730E;118
Ezechiel;44;22;22;SKN;65-0221M;156
Ezechiel;44;22;22;VGR;65-0221M;221
Ezechiel;48;1;1;VGR;63-0324E;221
Ezechiel;48;1;7;SKN;63-0324E;221
Galates;1;0;0;SKN;57-0322;45
Galates;1;0;0;SKN;60-0522M;109
Galates;1;0;0;SKN;60-0522M;110
Galates;1;0;0;SKN;60-0522M;175
Galates;1;0;0;SKN;63-1216;111
Galates;1;0;0;VGR;60-0522M;109
Galates;1;0;0;VGR;60-0522M;110
Galates;1;0;0;VGR;60-0522M;175
Galates;1;1;1;VGR;65-0801M;27
Galates;1;1;4;SKN;65-0801M;27
Galates;1;8;8;SKN;53-0325;28
Galates;1;8;8;SKN;53-0729;163
Galates;1;8;8;SKN;53-1205;31
Galates;1;8;8;SKN;54-0515;353
Galates;1;8;8;SKN;54-0620;43
Galates;1;8;8;SKN;54-0719A;6
Galates;1;8;8;SKN;55-0410M;87
Galates;1;8;8;SKN;55-0501E;49
Galates;1;8;8;SKN;57-0120E;4
Galates;1;8;8;SKN;57-0125;25
Galates;1;8;8;SKN;57-0901E;114
Galates;1;8;8;SKN;57-0901M;99
Galates;1;8;8;SKN;57-0925;161
Galates;1;8;8;SKN;57-1006;762
Galates;1;8;8;SKN;58-0927;160
Galates;1;8;8;SKN;58-0928M;137
Galates;1;8;8;SKN;58-1002;62
Galates;1;8;8;SKN;58-1005M;103
Galates;1;8;8;SKN;59-0628E;157
Galates;1;8;8;SKN;59-0823;126
Galates;1;8;8;SKN;59-1216;131
Galates;1;8;8;SKN;60-0522E;115
Galates;1;8;8;SKN;60-1113;207
Galates;1;8;8;SKN;60-1205;203
Galates;1;8;8;SKN;60-1209;75
Galates;1;8;8;SKN;60-1210;139
Galates;1;8;8;SKN;61-0119M;11
Galates;1;8;8;SKN;61-0128;45
Galates;1;8;8;SKN;61-0210;189
Galates;1;8;8;SKN;61-0217;55
Galates;1;8;8;SKN;61-0410;61
Galates;1;8;8;SKN;62-0118;172
Galates;1;8;8;SKN;62-0128M;29
Galates;1;8;8;SKN;62-0129;12
Galates;1;8;8;SKN;62-0204;118
Galates;1;8;8;SKN;62-0318E;1
Galates;1;8;8;SKN;62-0610M;66
Galates;1;8;8;SKN;62-0706;15
Galates;1;8;8;SKN;62-0711;56
Galates;1;8;8;SKN;62-1111E;100
Galates;1;8;8;SKN;63-0123;227
Galates;1;8;8;SKN;63-0623E;198
Galates;1;8;8;SKN;63-1124M;140
Galates;1;8;8;SKN;63-1214;158
Galates;1;8;8;SKN;64-0216;55
Galates;1;8;8;SKN;64-0823M;93
Galates;1;8;8;SKN;65-0120;186
Galates;1;8;8;SKN;65-0410;33
Galates;1;8;8;SKN;65-0822M;128
Galates;1;8;8;SKN;65-1212;24
Galates;1;8;8;SKN;65-1212;67
Galates;1;8;8;VGR;53-0729;163
Galates;1;8;8;VGR;54-0515;353
Galates;1;8;8;VGR;55-0410M;87
Galates;1;8;8;VGR;57-0120E;12
Galates;1;8;8;VGR;57-0901E;114
Galates;1;8;8;VGR;57-0901M;99
Galates;1;8;8;VGR;57-0925;161
Galates;1;8;8;VGR;57-1006;762
Galates;1;8;8;VGR;58-0927;160
Galates;1;8;8;VGR;58-1005M;218
Galates;1;8;8;VGR;59-0628E;157
Galates;1;8;8;VGR;59-1216;131
Galates;1;8;8;VGR;60-0522E;115
Galates;1;8;8;VGR;60-1113;245
Galates;1;8;8;VGR;60-1205;173
Galates;1;8;8;VGR;60-1209;74
Galates;1;8;8;VGR;60-1210;248
Galates;1;8;8;VGR;61-0119M;11
Galates;1;8;8;VGR;62-0204;118
Galates;1;8;8;VGR;62-0318M;403
Galates;1;8;8;VGR;62-1111E;104
Galates;1;8;8;VGR;63-0123;227
Galates;1;8;8;VGR;63-0623E;198
Galates;1;8;8;VGR;63-1124M;140
Galates;1;8;8;VGR;63-1214;158
Galates;1;8;8;VGR;64-0823M;93
Galates;1;8;8;VGR;65-0120;176
Galates;1;8;8;VGR;65-0410;43
Galates;1;8;8;VGR;65-0822M;128
Galates;1;8;8;VGR;65-1212;24
Galates;1;8;8;VGR;65-1212;67
Galates;1;9;9;SKN;54-0515;353
Galates;1;9;9;VGR;54-0515;353
Galates;2;20;20;SKN;62-1230E;117
Galates;2;20;20;VGR;62-1230E;250
Galates;3;0;0;SKN;61-0209;22
Galates;3;0;0;SKN;61-0213;25
Galates;3;16;16;SKN;57-0908E;416
Galates;3;16;16;SKN;57-0915M;541
Galates;3;16;16;SKN;61-0806;195
Galates;3;16;16;VGR;57-0908E;416
Galates;3;16;16;VGR;57-0915M;541
Galates;3;16;16;VGR;61-0806;195
Galates;3;26;26;SKN;60-0911E;155
Galates;3;26;26;VGR;60-0911E;155
Galates;3;26;28;VGR;60-0911E;155
Galates;3;29;29;SKN;59-1216;40
Galates;3;29;29;SKN;61-0423;10
Galates;3;29;29;VGR;59-1216;40
Galates;4;0;0;SKN;58-0324;13
Galates;4;19;19;SKN;63-1216;111
Galates;4;27;27;SKN;65-0218;43
Galates;4;27;27;SKN;65-0429B;20
Galates;4;27;27;VGR;65-0218;43
Galates;4;27;27;VGR;65-0429B;26
Galates;4;27;31;SKN;65-0429B;13
Galates;4;27;31;VGR;65-0429B;20
Galates;5;0;0;SKN;57-0417;59
Galates;5;0;0;SKN;60-0805;10
Galates;5;0;0;VGR;57-0417;59
Galates;5;6;6;SKN;63-0901E;68
Galates;5;22;22;SKN;57-0325;12
Galates;8;1;1;SKN;64-0719M;234
Galates;8;1;1;VGR;64-0719M;322
Genese;1;0;0;SKN;53-0403;49
Genese;1;0;0;SKN;53-0509;17
Genese;1;0;0;SKN;53-0611;75
Genese;1;0;0;SKN;53-0729;42
Genese;1;0;0;SKN;54-0809A;14
Genese;1;0;0;SKN;55-0116A;35
Genese;1;0;0;SKN;57-1006;601
Genese;1;0;0;SKN;60-0518;54
Genese;1;0;0;SKN;60-0709;26
Genese;1;0;0;SKN;60-1127M;16
Genese;1;0;0;SKN;61-0108;78
Genese;1;0;0;SKN;61-0216;18
Genese;1;0;0;SKN;61-0416;44
Genese;1;0;0;SKN;61-0516A;66
Genese;1;0;0;SKN;61-1224;116
Genese;1;0;0;SKN;62-0318E;1
Genese;1;0;0;SKN;62-0318M;28
Genese;1;0;0;SKN;62-0718;73
Genese;1;0;0;SKN;63-0119;57
Genese;1;0;0;SKN;63-1110M;352
Genese;1;0;0;SKN;63-1130B;105
Genese;1;0;0;SKN;63-1229M;103
Genese;1;0;0;SKN;64-0206E;19
Genese;1;0;0;SKN;64-0614M;62
Genese;1;0;0;SKN;64-0614M;75
Genese;1;0;0;SKN;64-0629;69
Genese;1;0;0;SKN;64-0719M;76
Genese;1;0;0;SKN;65-0118;31
Genese;1;0;0;SKN;65-0219;205
Genese;1;0;0;SKN;65-0221E;102
Genese;1;0;0;SKN;65-0911;21
Genese;1;0;0;SKN;65-0911;26
Genese;1;0;0;SKN;65-1031M;60
Genese;1;0;0;SKN;65-1031M;62
Genese;1;0;0;SKN;65-1031M;90
Genese;1;0;0;SKN;65-1126;136
Genese;1;0;0;SKN;65-1204;182
Genese;1;0;0;VGR;53-0403;49
Genese;1;0;0;VGR;53-0729;42
Genese;1;0;0;VGR;57-1006;601
Genese;1;0;0;VGR;60-0518;54
Genese;1;0;0;VGR;60-0911E;176
Genese;1;0;0;VGR;61-0108;78
Genese;1;0;0;VGR;62-0318M;361
Genese;1;0;0;VGR;62-0318M;403
Genese;1;0;0;VGR;63-1110M;352
Genese;1;0;0;VGR;63-1130B;105
Genese;1;0;0;VGR;63-1229M;103
Genese;1;0;0;VGR;64-0206E;19
Genese;1;0;0;VGR;64-0614M;62
Genese;1;0;0;VGR;64-0614M;75
Genese;1;0;0;VGR;64-0629;69
Genese;1;0;0;VGR;64-0719M;94
Genese;1;0;0;VGR;65-0118;31
Genese;1;0;0;VGR;65-0219;205
Genese;1;0;0;VGR;65-0221E;102
Genese;1;0;0;VGR;65-0911;38
Genese;1;0;0;VGR;65-0911;45
Genese;1;0;0;VGR;65-1031M;60
Genese;1;0;0;VGR;65-1031M;62
Genese;1;0;0;VGR;65-1031M;90
Genese;1;0;0;VGR;65-1126;136
Genese;1;0;0;VGR;65-1204;182
Genese;1;1;1;SKN;62-0318M;28
Genese;1;1;1;SKN;63-0321;94
