ref;traduction;code;paragraphe;nb_mots;mots
Luc 18:5;SKN;50-0110;9;2;cesse justice
Luc 16:22;SKN;50-0110;12;2;arriva fut
Luc 24:15;SKN;50-0110;12;2;approche arriva
Luc 17:27;SKN;50-0110;22;2;entra vint
Luc 7:38;SKN;50-0110;38;2;cheveux mit
Luc 19:5;SKN;50-0110;38;2;regardant vite
Luc 17:15;SKN;50-0110;40;2;glorifiant gueri
Luc 2:7;SKN;50-0110;41;2;mit premier
Luc 7:36;SKN;50-0110;41;2;mit table
Luc 16:24;SKN;50-0110;42;2;aie pitie
Luc 24:34;SKN;50-0115;21;2;apparu reellement
Luc 1:67;SKN;50-0115;26;2;fut zacharie
Luc 17:15;SKN;50-0115;30;2;haute voix
Luc 1:14;SKN;50-0115;39;2;dallegresse naissance
Luc 1:14;SKN;50-0115;43;2;dallegresse naissance
Luc 7:43;SKN;50-0115;58;2;davantage quitte
Luc 7:36;SKN;50-0200;8;2;manger table
Luc 24:30;SKN;50-0200;8;2;pain table
Luc 18:43;SKN;50-0200;27;2;voyant vue
Luc 7:49;SKN;50-0200;37;2;memes table
Luc 1:14;SKN;50-0200;42;2;dallegresse joie
Luc 16:22;SKN;50-0200;50;2;fut mourut
Luc 16:24;SKN;50-0200;51;2;leau pitie
Luc 19:4;SKN;50-0200;52;2;courant passer
Luc 19:4;SKN;50-0200;53;2;allait courant
Luc 5:8;SKN;50-0200;55;2;ayant retire
Luc 22:17;SKN;50-0200;55;2;ayant coupe
Luc 17:7;SKN;50-0200;63;2;champs mets
Luc 16:24;SKN;50-0227;4;2;aie doigt
Luc 7:47;SKN;50-0227;5;2;pardonnes peches
Luc 7:48;SKN;50-0227;5;2;pardonnes peches
Luc 16:24;SKN;50-0227;10;2;aie bout
Luc 17:14;SKN;50-0227;14;2;arriva furent
Luc 17:22;SKN;50-0227;28;2;verrez viendront
Luc 24:47;SKN;50-0227;30;2;nations repentance
Luc 18:8;SKN;50-0300;2;2;bientot viendra
Luc 18:8;SKN;50-0300;14;2;bientot trouvera
Luc 17:7;SKN;50-0300;33;2;dise suite
Luc 18:5;SKN;50-0405;7;2;justice neanmoins
