ref;idee;traduction;code;paragraphe;preuve
Hebreux 4:12;La Parole vivante, tranchante, discerne les pensées;SKN;53-0614A;40;PHRASE: epee.*deux
Hebreux 4:12;La Parole vivante, tranchante, discerne les pensées;SKN;53-0729;162;PHRASE: parole.*vivante
Hebreux 4:12;La Parole vivante, tranchante, discerne les pensées;SKN;53-0904;41;PHRASE: discerne.*pensees
Hebreux 4:12;La Parole vivante, tranchante, discerne les pensées;SKN;53-0907A;103;PHRASE: discerne.*pensees
Hebreux 4:12;La Parole vivante, tranchante, discerne les pensées;SKN;53-0907E;51;PHRASE: parole.*vivante
Hebreux 4:12;La Parole vivante, tranchante, discerne les pensées;SKN;53-1110;12;PHRASE: epee.*deux
Hebreux 4:12;La Parole vivante, tranchante, discerne les pensées;SKN;53-1110;16;PHRASE: tranchante
Hebreux 4:12;La Parole vivante, tranchante, discerne les pensées;SKN;53-1129A;42;PHRASE: epee.*deux
Hebreux 4:12;La Parole vivante, tranchante, discerne les pensées;SKN;53-1129A;62;PHRASE: tranchante
Hebreux 4:12;La Parole vivante, tranchante, discerne les pensées;SKN;53-1130;4;PHRASE: parole.*vivante
Hebreux 4:12;La Parole vivante, tranchante, discerne les pensées;SKN;54-0103E;83;PHRASE: tranchante
Hebreux 4:12;La Parole vivante, tranchante, discerne les pensées;SKN;54-0103E;91;PHRASE: tranchante
Hebreux 4:12;La Parole vivante, tranchante, discerne les pensées;SKN;54-0305;33;PHRASE: tranchante
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;47-0412;13;PHRASE: assurance.*espere
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;47-0412;14;PHRASE: assurance.*espere
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;47-0412;19;PHRASE: assurance.*espere
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;47-0412;22;PHRASE: assurance.*espere
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;47-0412;34;PHRASE: assurance.*espere
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;47-0412;46;PHRASE: demonstration.*voit
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;47-0412;48;PHRASE: assurance.*espere
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;47-0412;49;PHRASE: assurance.*espere
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;47-0412;53;PHRASE: assurance.*espere
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;47-0412;54;PHRASE: demonstration.*voit
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;47-0412;57;PHRASE: assurance.*espere
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;47-0412;59;PHRASE: assurance.*espere
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;47-1102;44;PHRASE: assurance.*espere
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;47-1207;93;PHRASE: assurance.*espere
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;48-0302;72;PHRASE: assurance.*espere
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;48-0302;73;PHRASE: assurance.*espere
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;48-0302;74;PHRASE: assurance.*espere
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;50-0100;48;PHRASE: assurance.*espere
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;50-0100;57;PHRASE: assurance.*espere
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;50-0100;60;PHRASE: assurance.*espere
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;50-0227;9;PHRASE: assurance.*espere
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;50-0405;62;PHRASE: assurance.*espere
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;50-0716;13;PHRASE: assurance.*espere
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;50-0810;5;PHRASE: assurance.*espere
Hebreux 11:1;La foi : assurance de ce qu’on espère;SKN;50-0822;38;PHRASE: assurance.*espere
