ref;traduction;code;paragraphe;statut;note;cadre
Jean 10:0;SKN;63-0324M;327;VALIDE;chap->v.9: suis porte quelquun sera;CONCEPT
Luc 24:49;SKN;63-0324M;151;PARTIEL;commencé, pas achevé — pere puissance;CONCEPT
Malachie 3:0;SKN;63-0324M;263;VALIDE;chap->v.1: messager preparera chemin devant moi;CONCEPT
Malachie 3:0;SKN;63-0324M;330;VALIDE;chap->v.15: maintenant ceux meme meme;CONCEPT
Malachie 4:0;SKN;63-0324M;329;VALIDE;chap->v.2: nom justice sera;CONCEPT
Malachie 4:5;SKN;63-0324M;369;PARTIEL;commencé, pas achevé — elie grand;CONCEPT
Matthieu 5:0;SKN;63-0324M;142;VALIDE;chap->v.16: ainsi hommes sorte quils quils pere;CONCEPT
Matthieu 11:0;SKN;63-0324M;256;VALIDE;chap->v.3: lui celui devons attendre autre;CONCEPT
Matthieu 22:11;SKN;63-0324M;323;PARTIEL;commencé, pas achevé — homme noces;CONCEPT
Matthieu 24:0;SKN;63-0324M;69;VALIDE;chap->v.2: voyez choses dis sera ici pierre pierre;CONCEPT
Matthieu 25:0;SKN;63-0324M;41;VALIDE;chap->v.1: alors sera dix vierges lampes;CONCEPT
Matthieu 28:19;SKN;63-0324M;148;EXACT;nom pere fils saint esprit [couverture 5/10];CONCEPT
Matthieu 28:19;SKN;63-0324M;151;VALIDE;allez faites disciples nations baptisant nom pere fils;CONCEPT
1 Corinthiens 12:0;SKN;50-0823;30;VALIDE;chap->v.13: avons baptises dun seul esprit seul corps soit;CONCEPT
1 Corinthiens 12:0;SKN;50-0827E;5;VALIDE;chap->v.3: cest pourquoi fais savoir nul homme lesprit dieu;LECTURE
1 Corinthiens 12:0;SKN;52-0717;13;VALIDE;chap->v.9: autre foi meme esprit autre dons meme esprit;CONCEPT
1 Corinthiens 12:0;SKN;52-0900;187;VALIDE;chap->v.12: corps membres membres corps seul corps christ;CONCEPT
Actes 19:0;SKN;52-0900;172;VALIDE;chap->v.2: avez recu saint cru meme saint;CONCEPT
Esaie 35:0;SKN;52-0900;7;VALIDE;chap->v.2: fleurira sera lallegresse lallegresse gloire liban lui sera;LECTURE
Jean 11:0;SKN;52-0900;148;VALIDE;chap->v.6: quil lazare etait etait;CONCEPT
Marc 11:24;SKN;52-0900;190;EXACT;cest dis demanderez priant croyez [couverture 5/8];CONCEPT
1 Corinthiens 12:0;SKN;54-0301;29;VALIDE;chap->v.12: meme corps quil plusieurs membres membres corps soient;CONCEPT
Jean 5:19;SKN;54-0301;49;EXACT;jesus dis rien lui meme quil chose pere [couverture 7/14];CONCEPT
1 Corinthiens 12:0;SKN;54-1219E;78;VALIDE;chap->v.15: suis main suis corps qua cela corps;CONCEPT
Actes 2:38;SKN;54-1219E;35;EXACT;pierre repentez chacun soit baptise nom jesus peches [couverture 11/14];CONCEPT
Jean 5:0;SKN;54-1219E;124;VALIDE;chap->v.26: pere vie lui meme donne fils vie lui;CONCEPT
1 Corinthiens 12:0;SKN;56-0223;17;VALIDE;chap->v.3: cest fais savoir homme parlant dieu jesus jesus;CONCEPT
Actes 19:0;SKN;56-0223;62;VALIDE;chap->v.2: avez recu lesprit saint cru lui navons meme;CONCEPT
Ephesiens 1:25;SKN;56-0223;15;LAPSUS;annoncé — dit en réalité colossiens 1:25;CONCEPT
colossiens 1:25;SKN;56-0223;15;LAPSUS-LU;lu — annoncé sous Ephesiens 1:25;CONCEPT
Exode 19:0;SKN;56-0223;65;VALIDE;chap->v.4: avez jai comment moi;CONCEPT
Genese 22:0;SKN;56-0223;68;VALIDE;chap->v.13: abraham yeux vit voici avait lui belier abraham;CONCEPT
Romains 4:0;SKN;56-0223;45;VALIDE;chap->v.18: contre esperance crut esperance pere selon ainsi sera;CONCEPT
Romains 8:0;SKN;56-0223;16;VALIDE;chap->v.9: esprit esprit dieu quelquun esprit nest lui;CONCEPT
1 Corinthiens 12:0;SKN;56-0225;15;VALIDE;chap->v.15: suis main suis corps qua cause cela nest;CONCEPT
Hebreux 13:8;SKN;56-0225;9;VALIDE;jesus meme hier aujourdhui eternellement;LECTURE
Jean 5:0;SKN;56-0225;50;VALIDE;chap->v.4: ange descendait agitait leau premier apres leau avait;CONCEPT
Jean 5:0;SKN;56-0225;52;VALIDE;chap->v.4: ange descendait agitait leau premier apres leau avait;CONCEPT
Jean 5:7;SKN;56-0225;59;EXACT;lui seigneur nai personne leau pendant moi [couverture 7/14];CONCEPT
Jean 5:19;SKN;56-0225;57;EXACT;jesus verite dis fils rien lui meme quil [couverture 8/14];CONCEPT
Jean 14:7;SKN;56-0225;59;PARTIEL;commencé, pas achevé — pere maintenant;CONCEPT
Luc 16:16;SKN;56-0225;26;VALIDE;loi prophetes ont jusqua jean lors royaume dieu;CONCEPT
1 Corinthiens 12:0;SKN;56-0723;24;VALIDE;chap->v.3: cest pourquoi savoir homme lesprit dieu jesus seigneur;CONCEPT
Luc 24:49;SKN;56-0723;51;VALIDE;voici moi ville jusqua soyez revetus puissance den;CONCEPT
Marc 11:24;SKN;56-0723;51;VALIDE;cest dis sera;CONCEPT
Romains 8:1;SKN;56-0723;11;VALIDE;maintenant aucune condamnation ceux christ jesus;CONCEPT
1 Corinthiens 12:0;SKN;56-1207;28;VALIDE;chap->v.3: cest pourquoi fais homme lesprit dieu jesus seigneur;CONCEPT
Actes 19:0;SKN;56-1207;9;VALIDE;chap->v.4: paul peuple quils celui venait lui cest;CONCEPT
Jean 5:19;SKN;56-1207;30;EXACT;jesus verite dis fils rien lui meme quil [couverture 7/14];CONCEPT
1 Corinthiens 12:0;SKN;57-0114;15;VALIDE;chap->v.3: cest fais homme lesprit dieu jesus seigneur jesus;CONCEPT
Actes 4:0;SKN;57-0114;64;VALIDE;chap->v.10: peuple nom jesus christ dieu ressuscite dentre morts;CONCEPT
Hebreux 13:8;SKN;57-0114;49;VALIDE;jesus christ meme hier aujourdhui eternellement;CONCEPT
Jean 4:0;SKN;57-0114;113;VALIDE;chap->v.10: jesus lui don dieu celui donne moi boire;CONCEPT
Jean 5:0;SKN;57-0114;76;VALIDE;chap->v.4: ange agitait leau premier entrait apres leau avait;CONCEPT
Jean 5:19;SKN;57-0114;45;EXACT;jesus dis fils rien lui meme quil pere [couverture 8/14];CONCEPT
Jean 14:7;SKN;57-0114;69;PARTIEL;commencé, pas achevé — connu;CONCEPT
Marc 16:0;SKN;57-0114;52;VALIDE;chap->v.6: lui jesus ressuscite nest ici voici mis;CONCEPT
Psaumes 103:3;SKN;57-0114;34;VALIDE;cest lui tes guerit;CONCEPT
1 Corinthiens 12:0;SKN;57-0908M;113;VALIDE;chap->v.13: avons seul esprit seul corps soit soit soit;CONCEPT
1 Corinthiens 12:0;SKN;57-0908M;117;VALIDE;chap->v.12: corps corps soient seul corps ainsi christ;CONCEPT
Hebreux 10:0;SKN;57-0908M;169;VALIDE;chap->v.26: volontairement apres recu connaissance verite reste sacrifice;CONCEPT
Romains 8:1;SKN;57-0908M;109;EXACT;maintenant aucune condamnation ceux christ jesus [couverture 6/6];CONCEPT
1 Corinthiens 12:0;SKN;57-1002;361;VALIDE;chap->v.13: avons baptises seul esprit seul corps soit soit;CONCEPT
1 Corinthiens 12:0;SKN;57-1002;364;VALIDE;chap->v.9: autre meme esprit autre dons grace meme esprit;CONCEPT
1 Jean 5:7;SKN;57-1002;477;EXACT;trois rendent temoignage [couverture 3/3];CONCEPT
Actes 2:27;SKN;57-1002;376;PARTIEL;commencé, pas achevé — ame saint;CONCEPT
Actes 7:55;SKN;57-1002;440;VALIDE;saint ciel dieu jesus;CONCEPT
Actes 19:0;SKN;57-1002;366;VALIDE;chap->v.2: avez recu saint cru meme saint;CONCEPT
Apocalypse 5:0;SKN;57-1002;354;VALIDE;chap->v.1: vis etait assis;CONCEPT
Apocalypse 5:0;SKN;57-1002;548;VALIDE;chap->v.7: livre main etait;CONCEPT
Apocalypse 11:0;SKN;57-1002;354;VALIDE;chap->v.11: apres trois demi vie dieu pieds;CONCEPT
Apocalypse 11:0;SKN;57-1002;548;VALIDE;chap->v.9: corps mort trois corps;CONCEPT
Apocalypse 21:0;SKN;57-1002;548;VALIDE;chap->v.11: gloire etait pierre pierre;CONCEPT
Apocalypse 21:19;SKN;57-1002;354;VALIDE;etaient pierre etait;CONCEPT
Ephesiens 1:20;SKN;57-1002;440;PARTIEL;commencé, pas achevé — droite;CONCEPT
Ephesiens 1:20;SKN;57-1002;451;EXACT;christ ressuscitant morts asseoir droite lieux celestes [couverture 7/10];CONCEPT
Esaie 9:6;SKN;57-1002;497;PARTIEL;commencé, pas achevé — fils sera;CONCEPT
Esther 6:0;SKN;57-1002;354;VALIDE;chap->v.13: femme lui etait arrive femme lui;CONCEPT
Genese 38:0;SKN;57-1002;354;VALIDE;chap->v.28: deux main femme main fil;CONCEPT
Genese 38:0;SKN;57-1002;548;VALIDE;chap->v.24: trois mois apres belle prostituee;CONCEPT
