ref;traduction;code;paragraphe;statut;note;cadre
Jean 14:12;SKN;63-0628E;78;VALIDE;verite dis celui croit moi fera lui uvres;CONCEPT
Marc 11:23;SKN;63-0628E;20;EXACT;dis montagne ote cur quil aura [couverture 5/14];CONCEPT
Marc 12:0;SKN;63-0628E;26;VALIDE;chap->v.29: lui repondit ecoute seigneur dieu seigneur;CONCEPT
Matthieu 11:22;SKN;63-0628E;20;VALIDE;dis sort sera;CONCEPT
Matthieu 24:0;SKN;63-0628E;30;VALIDE;chap->v.2: lui voyez dis sera laisse pierre pierre;CONCEPT
Romains 8:0;SKN;63-0628E;58;VALIDE;chap->v.5: selon choses selon choses lesprit;CONCEPT
Actes 2:0;SKN;63-0628M;231;VALIDE;chap->v.46: jours dun commun accord;CONCEPT
Actes 19:0;SKN;63-0628M;77;VALIDE;chap->v.27: tombe grande soit rien quil;CONCEPT
Apocalypse 17:0;SKN;63-0628M;92;VALIDE;chap->v.5: avait nom grande mere;CONCEPT
Actes 2:0;SKN;63-1201M;24;VALIDE;chap->v.30: etant prophete sachant dieu lui avait jure serment;CONCEPT
Actes 20:24;SKN;63-1201M;102;EXACT;fais aucun cas vie moi jai [couverture 6/14];CONCEPT
Apocalypse 22:19;SKN;63-1201M;95;EXACT;quelquun quelque chose paroles livre dieu part vie [couverture 8/14];CONCEPT
Apocalypse 22:19;SKN;63-1201M;106;VALIDE;quelquun quelque chose;CONCEPT
Esaie 9:6;SKN;63-1201M;64;PARTIEL;commencé, pas achevé — dieu;CONCEPT
Jacques 5:0;SKN;63-1201M;35;VALIDE;chap->v.17: elie etait homme pria instance quil;CONCEPT
Jean 1:0;SKN;63-1201M;95;VALIDE;chap->v.1: etait parole parole etait dieu parole etait dieu;CONCEPT
Job 14:0;SKN;63-1201M;115;VALIDE;chap->v.13: voulais cacher tenir cache jusqua colere puis moi;CONCEPT
Philippiens 1:0;SKN;63-1201M;22;VALIDE;chap->v.20: selon vive attente esperance rien maintenant toujours christ;CONCEPT
Romains 5:0;SKN;63-1201M;120;VALIDE;chap->v.1: justifies foi avons paix dieu seigneur jesus christ;CONCEPT
Romains 8:1;SKN;63-1201M;120;VALIDE;maintenant christ jesus;CONCEPT
Actes 2:0;SKN;64-0629;176;VALIDE;chap->v.29: hommes quil soit quil quil;CONCEPT
Actes 2:0;SKN;64-0629;199;VALIDE;chap->v.1: jour etaient meme;CONCEPT
Actes 4:0;SKN;64-0629;200;VALIDE;chap->v.13: pierre jean etaient sen;CONCEPT
Deuteronome 18:15;SKN;64-0629;51;EXACT;leternel dieu suscitera prophete moi milieu toi tes [couverture 8/11];CONCEPT
Ezechiel 2:3;SKN;64-0629;50;VALIDE;fils moi jour;CONCEPT
Genese 1:0;SKN;64-0629;69;VALIDE;chap->v.4: dieu quelle etait dieu;CONCEPT
Genese 18:0;SKN;64-0629;146;VALIDE;chap->v.10: sera sara fils sara tente;CONCEPT
Hebreux 1:0;SKN;64-0629;57;VALIDE;chap->v.1: dieu plusieurs reprises plusieurs manieres parle peres prophetes;CONCEPT
Hebreux 1:0;SKN;64-0629;145;VALIDE;chap->v.5: fils moi aujourdhui moi lui lui sera;CONCEPT
Hebreux 13:8;SKN;64-0629;98;EXACT;jesus meme hier aujourdhui eternellement [couverture 5/6];CONCEPT
Hebreux 13:8;SKN;64-0629;175;EXACT;jesus meme hier aujourdhui eternellement [couverture 5/6];CONCEPT
Jean 1:0;SKN;64-0629;67;VALIDE;chap->v.1: commencement etait parole parole etait dieu parole etait;CONCEPT
Jean 12:20;SKN;64-0629;64;PARTIEL;commencé, pas achevé — quelques grecs;CONCEPT
Joel 2:28;SKN;64-0629;91;PARTIEL;commencé, pas achevé — vos fils;CONCEPT
Malachie 3:0;SKN;64-0629;25;VALIDE;chap->v.15: maintenant meme meme dieu;CONCEPT
Philippiens 2:0;SKN;64-0629;20;VALIDE;chap->v.2: rendez joie ceci ayez meme pensee ayant meme;CONCEPT
Actes 2:0;SKN;64-1205;78;VALIDE;chap->v.1: jour pentecote etaient ensemble meme lieu;CONCEPT
Apocalypse 22:0;SKN;64-1205;68;VALIDE;chap->v.11: celui celui celui juste celui saint soit;CONCEPT
Genese 22:0;SKN;64-1205;38;VALIDE;chap->v.9: dieu lui avait abraham bois isaac fils;CONCEPT
Marc 9:7;SKN;64-1205;53;VALIDE;nuee voix celui fils ecoutez;CONCEPT
Marc 16:0;SKN;64-1205;42;VALIDE;chap->v.16: celui cru sera celui cru sera;CONCEPT
Actes 2:0;SKN;65-0123;81;VALIDE;chap->v.17: dieu vos vos vos;CONCEPT
Apocalypse 22:18;SKN;65-0123;54;VALIDE;moi paroles livre ajoute dieu;CONCEPT
Apocalypse 22:18;SKN;65-0123;57;EXACT;paroles ajoute dieu lui ajoutera [couverture 5/14];CONCEPT
Genese 17:0;SKN;65-0123;187;VALIDE;chap->v.17: abraham homme ans ans;CONCEPT
Hebreux 13:0;SKN;65-0123;153;VALIDE;chap->v.8: meme hier eternellement;CONCEPT
Hebreux 13:8;SKN;65-0123;60;VALIDE;jesus meme hier eternellement;CONCEPT
Jean 3:16;SKN;65-0123;153;EXACT;dieu tant aime monde donne fils unique afin [couverture 12/14];CONCEPT
Jean 7:37-38;SKN;65-0123;181;EXACT;fete jesus soif vienne moi boive [couverture 5/14];CONCEPT
Job 7:20;SKN;65-0123;8;VALIDE;peche place suis;CONCEPT
Psaumes 36:9;SKN;65-0123;186;PARTIEL;commencé, pas achevé — source vie;CONCEPT
Zacharie 13:0;SKN;65-0123;185;VALIDE;chap->v.1: source ouverte maison david peche;CONCEPT
Actes 2:0;VGR;54-0103M;42;VALIDE;chap->v.38: pierre repentez soit baptise nom jesus recevrez don;CONCEPT
Actes 10:49;VGR;54-0103M;42;LAPSUS;annoncé — dit en réalité actes 10:48;CONCEPT
actes 10:48;VGR;54-0103M;42;LAPSUS-LU;lu — annoncé sous Actes 10:49;CONCEPT
Actes 19:0;VGR;54-0103M;44;VALIDE;chap->v.4: paul jean baptise bapteme repentance disant quils celui;CONCEPT
Actes 19:5;VGR;54-0103M;41;VALIDE;baptises nom jesus;CONCEPT
Apocalypse 1:0;VGR;54-0103M;99;VALIDE;chap->v.3: celui ceux choses ecrites temps proche;CONCEPT
Apocalypse 6:0;VGR;54-0103M;194;VALIDE;chap->v.9: ouvrit cinquieme sceau vis dieu;CONCEPT
Ephesiens 4:30;VGR;54-0103M;210;EXACT;nattristez saint esprit dieu lequel avez scelles jour [couverture 9/9];CONCEPT
Esaie 5:24;VGR;54-0103M;1;PARTIEL;commencé, pas achevé — cest;CONCEPT
Ezechiel 9:0;VGR;54-0103M;208;VALIDE;chap->v.4: passe ville jerusalem fais marque hommes soupirent gemissent;CONCEPT
Luc 21:24;VGR;54-0103M;51;EXACT;parmi nations jerusalem sera pieds jusqua [couverture 7/14];CONCEPT
Marc 16:0;VGR;54-0103M;33;VALIDE;chap->v.16: celui baptise sera sauve celui sera;CONCEPT
Matthieu 2:0;VGR;54-0103M;54;VALIDE;chap->v.15: fut mort afin fut avait prophete appele fils;CONCEPT
Actes 2:0;VGR;54-0514;257;VALIDE;chap->v.2: coup ciel dun impetueux etaient;CONCEPT
Apocalypse 7:0;VGR;54-0514;239;VALIDE;chap->v.1: apres cela vis quatre anges debout quatre coins;CONCEPT
Apocalypse 12:0;VGR;54-0514;52;VALIDE;chap->v.1: grand signe femme soleil lune pieds tete;CONCEPT
Ephesiens 4:30;VGR;54-0514;165;EXACT;nattristez saint dieu lequel avez scelles jour redemption [couverture 8/9];CONCEPT
Ephesiens 4:30;VGR;54-0514;173;EXACT;nattristez saint esprit dieu lequel avez scelles jour [couverture 9/9];CONCEPT
Ephesiens 4:30;VGR;54-0514;261;VALIDE;saint esprit dieu jour;CONCEPT
Ezechiel 9:0;VGR;54-0514;164;VALIDE;chap->v.8: arriva moi reste dis seigneur eternel reste;CONCEPT
Hebreux 12:0;VGR;54-0514;52;VALIDE;chap->v.1: cest grande nuee temoins fardeau peche enveloppe;CONCEPT
Hebreux 13:8;VGR;54-0514;38;EXACT;jesus meme hier aujourdhui eternellement [couverture 5/6];CONCEPT
Jean 17:17;VGR;54-0514;150;EXACT;sanctifie verite parole [couverture 4/4];CONCEPT
Matthieu 10:0;VGR;54-0514;151;VALIDE;chap->v.29: sou eux pere;CONCEPT
Matthieu 24:24;VGR;54-0514;90;VALIDE;grands possible meme elus;CONCEPT
Actes 2:0;VGR;54-1024;111;VALIDE;chap->v.22: hommes israelites jesus homme dieu miracles prodiges signes;CONCEPT
Ephesiens 4:30;VGR;54-1024;56;EXACT;nattristez saint dieu lequel avez scelles jour redemption [couverture 8/9];CONCEPT
Genese 3:0;VGR;54-1024;124;VALIDE;chap->v.5: dieu mangerez yeux serez dieu connaissant;CONCEPT
Romains 8:1;VGR;54-1024;36;VALIDE;maintenant aucune condamnation ceux christ jesus;CONCEPT
Actes 2:0;VGR;56-0115;7;VALIDE;chap->v.17: derniers jours dieu repandrai esprit chair vos fils;LECTURE
Apocalypse 11:0;VGR;56-0115;33;VALIDE;chap->v.3: donnerai mes deux temoins jours;CONCEPT
Jean 17:0;VGR;56-0115;111;VALIDE;chap->v.1: choses leva yeux pere lheure venue;CONCEPT
Joel 2:0;VGR;56-0115;7;VALIDE;chap->v.28: cela repandrai esprit chair vos fils vos filles;LECTURE
Joel 2:28;VGR;56-0115;7;EXACT;cela repandrai esprit chair vos fils filles prophetiseront [couverture 11/14];LECTURE
Actes 2:0;VGR;56-0122;72;VALIDE;chap->v.17: derniers jours dieu repandrai esprit chair vos fils;CONCEPT
Ephesiens 4:30;VGR;56-0122;242;EXACT;nattristez saint dieu lequel avez scelles jour redemption [couverture 8/9];CONCEPT
Hebreux 1:0;VGR;56-0122;169;VALIDE;chap->v.9: aime cest pourquoi dieu dieu;CONCEPT
Hebreux 11:0;VGR;56-0122;169;VALIDE;chap->v.4: foi abel offrit dieu excellent sacrifice cain sacrifice;CONCEPT
Jean 3:0;VGR;56-0122;296;VALIDE;chap->v.14: moise eleva serpent desert faut fils lhomme soit;CONCEPT
Joel 2:0;VGR;56-0122;72;VALIDE;chap->v.28: apres repandrai esprit chair vos fils vos filles;CONCEPT
Romains 9:0;VGR;56-0122;92;VALIDE;chap->v.13: ainsi quil jai jacob jai hai esau;CONCEPT
Actes 2:0;VGR;57-0925;108;VALIDE;chap->v.38: pierre repentez chacun baptise nom jesus christ peches;CONCEPT
Actes 2:0;VGR;57-0925;158;VALIDE;chap->v.33: ayant ayant recu part pere saint voyez;CONCEPT
Actes 2:0;VGR;57-0925;213;VALIDE;chap->v.22: hommes israelites jesus homme dieu prodiges signes dieu;CONCEPT
Actes 2:38;VGR;57-0925;103;PARTIEL;commencé, pas achevé — jesus don;CONCEPT
Actes 2:38;VGR;57-0925;105;VALIDE;nom jesus don saint;CONCEPT
Actes 2:38;VGR;57-0925;107;EXACT;pierre repentez chacun baptise nom jesus christ peches [couverture 5/14];CONCEPT
Actes 2:38;VGR;57-0925;109;EXACT;pierre repentez chacun baptise nom jesus christ peches [couverture 11/14];CONCEPT
Actes 2:38;VGR;57-0925;115;VALIDE;baptise jesus don;CONCEPT
Actes 10:49;VGR;57-0925;111;LAPSUS;annoncé — dit en réalité actes 10:48;CONCEPT
actes 10:48;VGR;57-0925;111;LAPSUS-LU;lu — annoncé sous Actes 10:49;CONCEPT
Apocalypse 11:0;VGR;57-0925;38;VALIDE;chap->v.6: ceux ont ciel afin quil tombe ont;CONCEPT
Ephesiens 4:30;VGR;57-0925;50;EXACT;nattristez saint dieu lequel avez scelles jour redemption [couverture 8/9];CONCEPT
Ezechiel 9:0;VGR;57-0925;40;VALIDE;chap->v.6: hommes vierges femmes ont eux;CONCEPT
Galates 1:8;VGR;57-0925;161;EXACT;ange ciel quil soit anatheme [couverture 5/11];CONCEPT
Genese 3:8;VGR;57-0925;178;EXACT;entendirent voix leternel dieu jardin lhomme femme cacherent [couverture 10/14];CONCEPT
Genese 3:8;VGR;57-0925;217;PARTIEL;commencé, pas achevé — jardin femme;CONCEPT
Hebreux 11:1;VGR;57-0925;168;PARTIEL;commencé, pas achevé — foi choses;CONCEPT
Luc 16:16;VGR;57-0925;156;EXACT;loi prophetes ont jusqua jean lors royaume annonce [couverture 8/13];CONCEPT
Matthieu 25:46;VGR;57-0925;17;PARTIEL;commencé, pas achevé — vie;CONCEPT
Matthieu 25:46;VGR;57-0925;24;VALIDE;ceux iront vie;CONCEPT
Matthieu 25:46;VGR;57-0925;25;EXACT;ceux iront justes vie eternelle [couverture 5/8];CONCEPT
Matthieu 28:0;VGR;57-0925;129;VALIDE;chap->v.19: allez faites nom pere fils saint;CONCEPT
Matthieu 28:19;VGR;57-0925;103;PARTIEL;commencé, pas achevé — pere;CONCEPT
Matthieu 28:19;VGR;57-0925;105;EXACT;allez faites disciples nations baptisant nom pere fils [couverture 9/10];CONCEPT
Matthieu 28:19;VGR;57-0925;107;EXACT;allez faites disciples nations baptisant nom pere fils [couverture 9/10];CONCEPT
Matthieu 28:19;VGR;57-0925;114;PARTIEL;commencé, pas achevé — nations fils;CONCEPT
Matthieu 28:19;VGR;57-0925;146;EXACT;allez faites disciples nations baptisant nom pere fils [couverture 10/10];CONCEPT
Matthieu 28:19;VGR;57-0925;176;VALIDE;disciples nom saint;CONCEPT
Actes 2:0;VGR;58-0927;133;VALIDE;chap->v.17: chair vos fils vos filles prophetiseront vos;CONCEPT
Actes 2:0;VGR;58-0927;187;VALIDE;chap->v.2: ciel dun impetueux remplit maison etaient assis;CONCEPT
Actes 2:0;VGR;58-0927;188;VALIDE;chap->v.38: soit baptise nom jesus christ don saint esprit;CONCEPT
Apocalypse 1:0;VGR;58-0927;180;VALIDE;chap->v.13: milieu sept quelquun semblable fils lhomme vetu dune;CONCEPT
Apocalypse 2:20;VGR;58-0927;179;VALIDE;jai contre toi laisses femme prophetesse enseigne mes;CONCEPT
Apocalypse 13:0;VGR;58-0927;38;VALIDE;chap->v.11: vis bete terre avait deux cornes agneau parlait;CONCEPT
Apocalypse 13:0;VGR;58-0927;60;VALIDE;chap->v.18: ici sagesse celui nombre bete cest nombre dhomme;CONCEPT
Apocalypse 19:2;VGR;58-0927;110;EXACT;jugements veritables justes juge grande prostituee corrompait terre [couverture 14/14];CONCEPT
Deuteronome 23:0;VGR;58-0927;74;VALIDE;chap->v.2: illegitime nentrera leternel meme generation nentrera leternel;CONCEPT
Galates 1:8;VGR;58-0927;160;EXACT;ange ciel quil soit anatheme [couverture 5/11];CONCEPT
Genese 3:16;VGR;58-0927;150;VALIDE;femme tes mari;CONCEPT
Genese 3:16;VGR;58-0927;152;VALIDE;femme tes mari lui;CONCEPT
Romains 8:0;VGR;58-0927;108;VALIDE;chap->v.3: etait etait dieu;CONCEPT
Romains 8:0;VGR;58-0927;224;VALIDE;chap->v.30: ceux quil predestines appeles ceux quil appeles justifies;CONCEPT
Actes 2:0;VGR;59-0418;84;VALIDE;chap->v.38: pierre soit nom jesus christ don saint esprit;CONCEPT
Jean 4:0;VGR;59-0418;163;VALIDE;chap->v.10: jesus lui don dieu celui donne moi lui;CONCEPT
Jean 4:0;VGR;59-0418;167;VALIDE;chap->v.42: femme nest avons connaissons;CONCEPT
Actes 2:0;VGR;59-1223;168;VALIDE;chap->v.4: lesprit saint parler langues lesprit;CONCEPT
Apocalypse 22:0;VGR;59-1223;44;VALIDE;chap->v.14: quils aient droit vie quils;CONCEPT
Deuteronome 1:0;VGR;59-1223;175;VALIDE;chap->v.27: avez avez cest parce quil sortir;CONCEPT
Ephesiens 1:0;VGR;59-1223;117;VALIDE;chap->v.3: beni soit dieu pere seigneur jesus christ benis;CONCEPT
Ephesiens 4:30;VGR;59-1223;171;EXACT;nattristez saint dieu lequel avez scelles jour redemption [couverture 8/9];CONCEPT
Hebreux 4:6;VGR;59-1223;173;VALIDE;puisquil reste ceux avaient entres;CONCEPT
Hebreux 6:4;VGR;59-1223;2;VALIDE;ont fois don lesprit saint;CONCEPT
Hebreux 6:4;VGR;59-1223;173;VALIDE;impossible ceux ont fois eclaires goute don celeste;CONCEPT
Hebreux 10:26;VGR;59-1223;2;PARTIEL;commencé, pas achevé — reste;CONCEPT
Hebreux 10:26;VGR;59-1223;173;PARTIEL;commencé, pas achevé — reste;CONCEPT
Jean 1:8;VGR;59-1223;139;PARTIEL;commencé, pas achevé — lui;CONCEPT
Jean 1:8;VGR;59-1223;140;PARTIEL;commencé, pas achevé — lui;CONCEPT
Jean 5:24;VGR;59-1223;51;EXACT;celui parole croit envoye vie eternelle vient jugement [couverture 7/14];CONCEPT
Jean 6:0;VGR;59-1223;51;VALIDE;chap->v.35: jesus moi suis vie celui vient moi jamais;CONCEPT
Jeremie 1:4;VGR;59-1223;115;PARTIEL;commencé, pas achevé — moi;CONCEPT
Romains 7:0;VGR;59-1223;92;VALIDE;chap->v.25: graces dieu jesus seigneur ainsi moi lentendement loi;CONCEPT
Romains 7:22;VGR;59-1223;92;PARTIEL;commencé, pas achevé — loi dieu;CONCEPT
Romains 7:25;VGR;59-1223;2;VALIDE;dieu seigneur moi;CONCEPT
Actes 2:0;VGR;60-1205;149;VALIDE;chap->v.38: soit jesus christ don saint esprit;CONCEPT
Actes 19:0;VGR;60-1205;101;VALIDE;chap->v.4: paul jean baptise bapteme quils croient celui apres;CONCEPT
Galates 1:8;VGR;60-1205;173;EXACT;ange ciel quil soit anatheme [couverture 5/11];CONCEPT
Hebreux 6:0;VGR;60-1205;205;VALIDE;chap->v.7: terre pluie vient souvent herbes dieu;CONCEPT
Hebreux 11:0;VGR;60-1205;41;VALIDE;chap->v.37: vetus peaux brebis peaux chevres besoin;CONCEPT
Hebreux 13:8;VGR;60-1205;114;EXACT;jesus meme hier aujourdhui eternellement [couverture 5/6];CONCEPT
Jean 6:0;VGR;60-1205;214;VALIDE;chap->v.32: jesus dis moise donne pain pere donne pain;CONCEPT
Marc 16:0;VGR;60-1205;43;VALIDE;chap->v.17: ici signes accompagneront ceux auront cru;CONCEPT
Matthieu 5:0;VGR;60-1205;88;VALIDE;chap->v.11: etes quon persecutera quon contre cause;CONCEPT
Actes 2:0;VGR;61-0319;91;VALIDE;chap->v.33: dieu part pere saint promis voyez;CONCEPT
Actes 2:0;VGR;61-0319;92;VALIDE;chap->v.33: dieu part pere saint promis voyez;CONCEPT
Actes 2:38;VGR;61-0319;92;VALIDE;pierre soit jesus saint;CONCEPT
Apocalypse 2:20;VGR;61-0319;63;PARTIEL;commencé, pas achevé — femme prophetesse;CONCEPT
Apocalypse 13:0;VGR;61-0319;34;VALIDE;chap->v.15: lui donne donner bete afin bete parle meme;CONCEPT
Apocalypse 17:17;VGR;61-0319;34;VALIDE;dieu meme donner bete;CONCEPT
Malachie 3:0;VGR;61-0319;88;VALIDE;chap->v.1: voici jenvoie messager chemin devant moi seigneur;CONCEPT
Malachie 4:0;VGR;61-0319;88;VALIDE;chap->v.5: voici elie prophete avant grand jour leternel;CONCEPT
Malachie 4:0;VGR;61-0319;89;VALIDE;chap->v.1: voici jour vient chaume jour vient brulera;CONCEPT
Matthieu 17:0;VGR;61-0319;87;VALIDE;chap->v.12: dis quelie lont lui ont quils ont;CONCEPT
Actes 2:0;VGR;61-0723E;54;VALIDE;chap->v.30: prophete dieu lui avait serment quil asseoir quelquun;CONCEPT
Actes 2:38;VGR;61-0723E;37;EXACT;soit baptise nom jesus don saint esprit [couverture 7/14];CONCEPT
Apocalypse 1:0;VGR;61-0723E;8;VALIDE;chap->v.4: sept grace part part sept;CONCEPT
Ezechiel 38:0;VGR;61-0723E;101;VALIDE;chap->v.2: gog pays magog contre lui;CONCEPT
Hebreux 6:0;VGR;61-0723E;85;VALIDE;chap->v.8: epines chardons reprouvee pres fin detre;CONCEPT
Hebreux 6:0;VGR;61-0723E;86;VALIDE;chap->v.8: epines chardons reprouvee pres fin detre;CONCEPT
Jean 5:24;VGR;61-0723E;58;EXACT;celui parole croit envoye vie eternelle vient jugement [couverture 10/14];CONCEPT
Matthieu 24:0;VGR;61-0723E;108;VALIDE;chap->v.15: verrez labomination desolation parle daniel prophete etablie lieu;CONCEPT
Matthieu 28:19;VGR;61-0723E;37;EXACT;faites nom pere fils saint esprit [couverture 6/10];CONCEPT
Matthieu 28:19;VGR;61-0723E;40;EXACT;nom pere fils saint esprit [couverture 5/10];CONCEPT
Psaumes 106:0;VGR;61-0723E;158;VALIDE;chap->v.7: nos peres egypte attentifs tes multitude tes rebelles;CONCEPT
Actes 2:0;VGR;61-0808;181;VALIDE;chap->v.38: soit nom jesus christ don saint;CONCEPT
Apocalypse 7:0;VGR;61-0808;182;VALIDE;chap->v.9: apres choses personne nation;CONCEPT
Jean 5:24;VGR;61-0808;147;EXACT;celui parole croit envoye vie eternelle vient jugement [couverture 10/14];CONCEPT
Actes 2:0;VGR;61-0813;42;VALIDE;chap->v.38: pierre chacun baptise nom jesus peches recevrez don;CONCEPT
Actes 2:0;VGR;61-0813;72;VALIDE;chap->v.4: remplis lesprit saint langues selon lesprit;CONCEPT
Jacques 5:14;VGR;61-0813;27;EXACT;quelquun parmi malade quil appelle anciens quils prient [couverture 7/14];CONCEPT
Actes 2:0;VGR;63-0123;208;VALIDE;chap->v.38: pierre repentez chacun baptise nom jesus christ peches;CONCEPT
Galates 1:8;VGR;63-0123;227;EXACT;ange ciel quil soit anatheme [couverture 5/11];CONCEPT
Hebreux 13:8;VGR;63-0123;293;PARTIEL;commencé, pas achevé — jesus meme;CONCEPT
Jean 3:16;VGR;63-0123;48;EXACT;dieu tant aime monde quil donne fils unique [couverture 14/14];CONCEPT
Jean 3:16;VGR;63-0123;86;VALIDE;dieu quil lui;CONCEPT
Jean 5:19;VGR;63-0123;291;EXACT;jesus verite dis fils rien lui meme quil [couverture 9/14];CONCEPT
Jean 14:12;VGR;63-0123;242;EXACT;celui croit moi fera lui uvres fais [couverture 9/14];CONCEPT
Malachie 4:0;VGR;63-0123;282;VALIDE;chap->v.1: jour vient jour vient;CONCEPT
Philippiens 2:5;VGR;63-0123;32;VALIDE;quil pensee christ jesus;CONCEPT
Actes 2:0;VGR;63-0320;118;VALIDE;chap->v.22: hommes israelites ecoutez paroles jesus homme dieu miracles;CONCEPT
Actes 2:0;VGR;63-0320;119;VALIDE;chap->v.22: hommes israelites ecoutez paroles jesus homme dieu miracles;CONCEPT
Actes 2:0;VGR;63-0320;309;VALIDE;chap->v.30: dieu lui avait quil;CONCEPT
Actes 2:38;VGR;63-0320;136;PARTIEL;commencé, pas achevé — don;CONCEPT
Apocalypse 10:0;VGR;63-0320;41;VALIDE;chap->v.6: celui vit siecles siecles lequel ciel terre mer;CONCEPT
Apocalypse 10:0;VGR;63-0320;177;VALIDE;chap->v.7: jours septieme ange sera mystere dieu sera;CONCEPT
Apocalypse 10:0;VGR;63-0320;197;VALIDE;chap->v.7: jours sera dieu sera;CONCEPT
Apocalypse 17:0;VGR;63-0320;139;VALIDE;chap->v.2: rois terre ont commis fornication terre ont fornication;CONCEPT
Apocalypse 17:0;VGR;63-0320;140;VALIDE;chap->v.2: rois terre ont commis fornication terre ont fornication;CONCEPT
Hebreux 4:0;VGR;63-0320;242;VALIDE;chap->v.2: meme ceux parole ceux;CONCEPT
Hebreux 13:8;VGR;63-0320;246;VALIDE;meme hier aujourdhui;CONCEPT
Jean 1:0;VGR;63-0320;98;VALIDE;chap->v.1: commencement etait parole parole etait dieu parole etait;CONCEPT
Jean 5:7;VGR;63-0320;172;PARTIEL;commencé, pas achevé — nai leau;CONCEPT
Jean 14:12;VGR;63-0320;197;VALIDE;dis fera lui uvres parce;CONCEPT
Jean 14:12;VGR;63-0320;242;VALIDE;dis fera lui fais parce;CONCEPT
Jean 17:17;VGR;63-0320;174;PARTIEL;commencé, pas achevé — sanctifie parole;CONCEPT
Joel 2:38;VGR;63-0320;197;LAPSUS;annoncé — dit en réalité actes 2:38;CONCEPT
actes 2:38;VGR;63-0320;197;LAPSUS-LU;lu — annoncé sous Joel 2:38;CONCEPT
Levitique 8:12;VGR;63-0320;305;PARTIEL;commencé, pas achevé — lhuile;CONCEPT
Malachie 4:0;VGR;63-0320;162;VALIDE;chap->v.6: fera cur cur;CONCEPT
Malachie 4:0;VGR;63-0320;242;VALIDE;chap->v.6: fera cur cur pays;CONCEPT
Matthieu 4:11;VGR;63-0320;275;PARTIEL;commencé, pas achevé — alors diable;CONCEPT
Matthieu 14:0;VGR;63-0320;305;VALIDE;chap->v.19: donne pris deux;CONCEPT
Matthieu 25:4;VGR;63-0320;305;PARTIEL;commencé, pas achevé — lhuile;CONCEPT
Zacharie 4:12;VGR;63-0320;305;EXACT;fois deux cote conduits [couverture 5/14];CONCEPT
Actes 2:0;VGR;63-0324M;151;VALIDE;chap->v.38: pierre chacun soit baptise nom jesus don saint;CONCEPT
Actes 2:38;VGR;63-0324M;148;EXACT;pierre soit nom jesus don saint esprit [couverture 7/14];CONCEPT
Apocalypse 5:0;VGR;63-0324M;270;VALIDE;chap->v.9: cantique nouveau disant digne prendre livre den ouvrir;CONCEPT
Apocalypse 5:9;VGR;63-0324M;268;EXACT;chantent cantique nouveau disant digne prendre livre den [couverture 8/14];CONCEPT
Apocalypse 6:0;VGR;63-0324M;267;VALIDE;chap->v.1: lagneau lun sceaux lun quatre disant;CONCEPT
Apocalypse 6:0;VGR;63-0324M;272;VALIDE;chap->v.1: lagneau sept sceaux quatre disant;CONCEPT
Apocalypse 6:0;VGR;63-0324M;274;VALIDE;chap->v.4: autre donne etait quils;CONCEPT
Apocalypse 6:6;VGR;63-0324M;102;PARTIEL;commencé, pas achevé — lhuile;CONCEPT
Apocalypse 6:6;VGR;63-0324M;282;VALIDE;jentendis voix milieu quatre mesure denier dorge lhuile;CONCEPT
Apocalypse 6:11;VGR;63-0324M;271;VALIDE;donne chacun robe blanche quils;CONCEPT
Apocalypse 6:11;VGR;63-0324M;279;VALIDE;donne robe blanche;CONCEPT
Apocalypse 7:14;VGR;63-0324M;280;EXACT;dis seigneur sais ceux grande ont lave robes [couverture 9/14];CONCEPT
Apocalypse 11:0;VGR;63-0324M;227;VALIDE;chap->v.11: apres trois demi lesprit vie dieu;CONCEPT
Apocalypse 11:3;VGR;63-0324M;329;PARTIEL;commencé, pas achevé — deux temoins;CONCEPT
Apocalypse 16:0;VGR;63-0324M;367;VALIDE;chap->v.9: grande nom dieu lui donner;CONCEPT
Apocalypse 18:8;VGR;63-0324M;367;VALIDE;cest seul mort sera dieu;CONCEPT
Daniel 9:27;VGR;63-0324M;224;VALIDE;semaine milieu fera;CONCEPT
Genese 4:1;VGR;63-0324M;129;VALIDE;lhomme connut eve femme concut enfanta cain jai;CONCEPT
Luc 24:49;VGR;63-0324M;151;PARTIEL;commencé, pas achevé — pere puissance;CONCEPT
Malachie 3:0;VGR;63-0324M;263;VALIDE;chap->v.1: messager preparera chemin devant moi;CONCEPT
Malachie 3:0;VGR;63-0324M;330;VALIDE;chap->v.15: maintenant ceux meme meme;CONCEPT
Malachie 4:0;VGR;63-0324M;329;VALIDE;chap->v.2: nom justice sera;CONCEPT
Malachie 4:5;VGR;63-0324M;369;PARTIEL;commencé, pas achevé — elie grand;CONCEPT
Matthieu 5:0;VGR;63-0324M;142;VALIDE;chap->v.16: hommes sorte quils quils pere;CONCEPT
Matthieu 11:0;VGR;63-0324M;256;VALIDE;chap->v.3: lui celui devons attendre autre;CONCEPT
Matthieu 22:11;VGR;63-0324M;323;PARTIEL;commencé, pas achevé — homme noces;CONCEPT
Matthieu 24:0;VGR;63-0324M;69;VALIDE;chap->v.2: voyez choses dis sera ici pierre pierre;CONCEPT
Matthieu 25:0;VGR;63-0324M;41;VALIDE;chap->v.1: alors sera dix vierges lampes;CONCEPT
