ref;traduction;code;paragraphe;statut;note
1 Jean 5:1;SKN;53-1112;18;VALIDE;jesus dieu aime lui
Actes 2:0;SKN;53-1112;2;VALIDE;chap->v.22: hommes israelites ecoutez paroles jesus homme dieu miracles
Jean 7:5;SKN;53-1112;18;PARTIEL;commencé, pas achevé — lui
1 Jean 5:7;SKN;54-0516;23;VALIDE;trois rendent temoignage
Apocalypse 12:0;SKN;54-0516;53;VALIDE;chap->v.1: grand signe ciel femme soleil lune pieds
Romains 8:1;SKN;54-0516;84;VALIDE;maintenant aucune condamnation ceux jesus
1 Jean 5:7;SKN;57-0901E;125;EXACT;trois rendent temoignage [couverture 3/3]
1 Timothee 3:16;SKN;57-0901E;131;EXACT;contredit mystere piete grand dieu manifeste chair esprit [couverture 11/14]
Apocalypse 13:0;SKN;57-0901E;103;VALIDE;chap->v.11: autre bete terre avait deux cornes agneau parlait
Galates 1:8;SKN;57-0901E;114;VALIDE;ange ciel soit anatheme
Hebreux 13:0;SKN;57-0901E;20;VALIDE;chap->v.7: vos annonce parole dieu conduite
Matthieu 1:18;SKN;57-0901E;129;VALIDE;naissance jesus ainsi marie
Matthieu 20:0;SKN;57-0901E;152;VALIDE;chap->v.12: disant avons jour
Matthieu 28:0;SKN;57-0901E;157;VALIDE;chap->v.7: allez dites voici voici lai
Romains 8:1;SKN;57-0901E;209;EXACT;maintenant aucune condamnation ceux christ jesus [couverture 6/6]
1 Jean 5:7;SKN;60-0611B;30;VALIDE;trois rendent temoignage
Romains 5:0;SKN;60-0611B;31;VALIDE;chap->v.12: cest seul homme peche monde peche passe ont
Romains 8:0;SKN;60-0611B;31;VALIDE;chap->v.26: meme lesprit savons quil faut lesprit lui meme
1 Jean 5:7;SKN;61-0312;58;VALIDE;trois rendent temoignage
Actes 19:0;SKN;61-0312;13;VALIDE;chap->v.10: cela pendant deux ans ceux parole
Ephesiens 4:30;SKN;61-0312;41;VALIDE;nattristez saint dieu lequel avez jour redemption
Genese 1:26;SKN;61-0312;70;VALIDE;dieu homme mer cieux terre
Genese 12:0;SKN;61-0312;37;VALIDE;chap->v.4: lui avait lui etait ans
Genese 12:0;SKN;61-0312;60;VALIDE;chap->v.4: lui avait lui etait age ans
Genese 12:0;SKN;61-0312;63;VALIDE;chap->v.4: sen lui avait lot sen lui etait ans
Genese 15:0;SKN;61-0312;60;VALIDE;chap->v.4: voici parole lui celui sera celui tes lui
Genese 17:0;SKN;61-0312;60;VALIDE;chap->v.5: nom sera appele nom sera abraham pere dune
Genese 18:0;SKN;61-0312;63;VALIDE;chap->v.18: abraham doit devenir grande quen lui
Genese 18:0;SKN;61-0312;76;VALIDE;chap->v.5: apres cest cela avez passe pres
Genese 18:0;SKN;61-0312;79;VALIDE;chap->v.10: toi terme sera voici sara femme fils sara
Genese 22:0;SKN;61-0312;95;VALIDE;chap->v.7: isaac abraham pere pere voici fils voici feu
Marc 16:0;SKN;61-0312;59;VALIDE;chap->v.16: celui cru sera celui cru sera
1 Jean 5:7;SKN;63-0116;60;EXACT;trois rendent temoignage [couverture 3/3]
Actes 4:0;SKN;63-0116;315;VALIDE;chap->v.17: afin cela soit parmi peuple nom soit
Apocalypse 10:0;SKN;63-0116;74;VALIDE;chap->v.6: jura celui vit siecles siecles ciel choses terre
Apocalypse 11:0;SKN;63-0116;130;VALIDE;chap->v.10: sujet autres deux prophetes
Hebreux 1:0;SKN;63-0116;142;VALIDE;chap->v.1: dieu autrefois plusieurs reprises plusieurs manieres parle peres
Malachie 3:0;SKN;63-0116;225;VALIDE;chap->v.1: voici messager devant viendra
Malachie 3:0;SKN;63-0116;228;VALIDE;chap->v.1: messager chemin devant moi viendra
Malachie 4:0;SKN;63-0116;187;VALIDE;chap->v.6: fera retourner peres peres
Malachie 4:0;SKN;63-0116;222;VALIDE;chap->v.5: voici envoie avant vienne jour
Malachie 4:0;SKN;63-0116;224;VALIDE;chap->v.5: voici envoie avant vienne jour
Malachie 4:0;SKN;63-0116;225;VALIDE;chap->v.1: voici jour chaume jour
Malachie 4:0;SKN;63-0116;226;VALIDE;chap->v.1: jour chaume jour
Malachie 4:0;SKN;63-0116;228;VALIDE;chap->v.1: jour chaume jour
Matthieu 24:0;SKN;63-0116;127;VALIDE;chap->v.33: meme verrez choses sachez cela proche porte
1 Jean 5:7;SKN;63-0320;172;EXACT;trois rendent temoignage [couverture 3/3]
1 Timothee 3:16;SKN;63-0320;112;EXACT;contredit mystere piete grand dieu manifeste chair [couverture 7/14]
2 Timothee 3:0;SKN;63-0320;197;VALIDE;chap->v.17: dieu soit accompli parfaitement accompli
Actes 2:0;SKN;63-0320;118;VALIDE;chap->v.22: hommes israelites ecoutez paroles jesus homme dieu miracles
Actes 2:0;SKN;63-0320;119;VALIDE;chap->v.22: hommes israelites ecoutez paroles jesus homme dieu miracles
Actes 2:0;SKN;63-0320;309;VALIDE;chap->v.26: cest pourquoi rejoui joie
Actes 2:38;SKN;63-0320;136;PARTIEL;commencé, pas achevé — don
Apocalypse 10:0;SKN;63-0320;41;VALIDE;chap->v.6: celui vit siecles siecles lequel ciel terre mer
Apocalypse 10:0;SKN;63-0320;177;VALIDE;chap->v.7: jours septieme ange sera sonner trompette mystere dieu
apocalypse 10:7;SKN;63-0320;197;CORRIGE;annoncé Apocalypse 10:17
Apocalypse 17:0;SKN;63-0320;139;VALIDE;chap->v.2: rois terre ont commis fornication terre ont fornication
Apocalypse 17:0;SKN;63-0320;140;VALIDE;chap->v.2: rois terre ont commis fornication terre ont fornication
Hebreux 4:0;SKN;63-0320;242;VALIDE;chap->v.2: meme ceux parole ceux
Hebreux 13:8;SKN;63-0320;246;VALIDE;meme hier aujourdhui eternellement
Jean 1:0;SKN;63-0320;98;VALIDE;chap->v.1: commencement etait parole parole etait dieu parole etait
Jean 14:12;SKN;63-0320;197;VALIDE;dis fera lui parce
Jean 14:12;SKN;63-0320;242;VALIDE;dis fera lui fais parce
Jean 17:17;SKN;63-0320;174;PARTIEL;commencé, pas achevé — sanctifie parole
joel 2:11;SKN;63-0320;197;CORRIGE;annoncé Joel 2:38
Levitique 8:12;SKN;63-0320;305;PARTIEL;commencé, pas achevé — lhuile
Malachie 4:0;SKN;63-0320;162;VALIDE;chap->v.5: prophete vienne jour
Malachie 4:0;SKN;63-0320;242;VALIDE;chap->v.1: jour ceux jour
Matthieu 4:11;SKN;63-0320;275;PARTIEL;commencé, pas achevé — alors diable
Matthieu 14:25;SKN;63-0320;305;PARTIEL;commencé, pas achevé — sen
Matthieu 25:4;SKN;63-0320;305;PARTIEL;commencé, pas achevé — lhuile
Zacharie 4:12;SKN;63-0320;305;VALIDE;fois cote conduits
Apocalypse 3:0;SKN;64-0705;148;VALIDE;chap->v.12: celui colonne dieu lui dieu
Apocalypse 3:0;SKN;64-0705;161;VALIDE;chap->v.2: reste mourir nai dieu
Apocalypse 10:0;SKN;64-0705;167;VALIDE;chap->v.7: jours septieme ange sera dieu sera annonce
Jean 12:0;SKN;64-0705;128;VALIDE;chap->v.19: eux voyez rien alle apres
Jean 12:24;SKN;64-0705;116;EXACT;dis grain ble terre seul sil [couverture 6/14]
Jean 14:0;SKN;64-0705;68;VALIDE;chap->v.10: moi pere pere moi moi moi meme pere
Luc 17:0;SKN;64-0705;170;VALIDE;chap->v.34: deux seront meme
Malachie 3:0;SKN;64-0705;110;VALIDE;chap->v.14: cest dieu quel quil
Malachie 4:0;SKN;64-0705;158;VALIDE;chap->v.3: vos jour leternel
Malachie 4:0;SKN;64-0705;159;VALIDE;chap->v.3: vos jour leternel
Malachie 4:0;SKN;64-0705;166;VALIDE;chap->v.1: jour seront jour
Marc 9:7;SKN;64-0705;72;EXACT;nuee voix celui fils ecoutez [couverture 6/10]
Matthieu 24:24;SKN;64-0705;126;VALIDE;seduire possible elus
1 Pierre 1:0;SKN;62-1111E;212;VALIDE;chap->v.5: etes dieu foi pret dernier
1 Samuel 8:4;SKN;62-1111E;22;VALIDE;anciens vinrent samuel rama
2 Timothee 3:0;SKN;62-1111E;196;VALIDE;chap->v.1: derniers jours temps
Actes 2:38;SKN;62-1111E;64;VALIDE;jesus christ don
Actes 2:38;SKN;62-1111E;66;VALIDE;jesus christ don
Apocalypse 17:0;SKN;62-1111E;171;VALIDE;chap->v.3: vis femme assise bete ecarlate pleine noms blaspheme
Apocalypse 17:0;SKN;62-1111E;181;VALIDE;chap->v.17: dieu mis seule meme donner bete
Apocalypse 18:0;SKN;62-1111E;181;VALIDE;chap->v.3: ont rois terre ont terre riches
Apocalypse 18:0;SKN;62-1111E;189;VALIDE;chap->v.1: apres vis autre ange ciel grand terre
Galates 1:8;SKN;62-1111E;100;VALIDE;ange ciel soit anatheme
Jean 3:0;SKN;62-1111E;59;VALIDE;chap->v.2: lui lui savons docteur venu dieu personne fais
Marc 16:0;SKN;62-1111E;64;VALIDE;chap->v.18: auront quelque chose cela mains ceux
Marc 16:0;SKN;62-1111E;66;VALIDE;chap->v.17: ici accompagneront ceux auront cru demons
Nombres 16:1;SKN;62-1111E;41;PARTIEL;commencé, pas achevé — levi dathan
1 Pierre 1:18;SKN;61-0611;148;PARTIEL;commencé, pas achevé — avait lor
Actes 2:38;SKN;61-0611;77;EXACT;repentez chacun baptise nom jesus remission peches don [couverture 9/14]
Levitique 25:0;SKN;61-0611;130;VALIDE;chap->v.25: frere pauvre vend possession alors proche parent rachete
Levitique 25:0;SKN;61-0611;132;VALIDE;chap->v.25: frere pauvre vend possession alors celui proche parent
Levitique 25:23;SKN;61-0611;130;PARTIEL;commencé, pas achevé — pays
Matthieu 5:0;SKN;61-0611;126;VALIDE;chap->v.5: debonnaires heriteront terre
Matthieu 28:0;SKN;61-0611;78;VALIDE;chap->v.19: nom pere fils saint
Romains 8:22;SKN;61-0611;103;VALIDE;savons creation soupire maintenant
1 Pierre 1:19-20;SKN;60-0515E;102;VALIDE;sang precieux christ agneau defaut tache avant fondation
Apocalypse 13:0;SKN;60-0515E;102;VALIDE;chap->v.8: ceux terre nom ecrit fondation monde livre vie
Apocalypse 13:8;SKN;60-0515E;104;EXACT;ceux terre nom ecrit fondation monde livre vie [couverture 9/14]
Apocalypse 17:8;SKN;60-0515E;102;VALIDE;bete vue etait monter aller perdition ceux terre
Apocalypse 17:8;SKN;60-0515E;103;EXACT;bete vue etait monter aller perdition ceux terre [couverture 9/14]
Ephesiens 4:30;SKN;60-0515E;110;VALIDE;saint dieu lequel avez scelles jour redemption
Genese 1:26;SKN;60-0515E;99;VALIDE;dieu selon mer terre
Genese 2:0;SKN;60-0515E;100;VALIDE;chap->v.4: ici terre jour dieu terre
Joel 2:28;SKN;60-0515E;38;EXACT;apres repandrai esprit chair vos fils filles prophetiseront [couverture 10/14]
1 Pierre 3:19;SKN;57-1006;613;VALIDE;alle preche esprits prison
1 Pierre 3:19;SKN;57-1006;615;EXACT;lequel alle preche esprits prison [couverture 5/6]
2 Pierre 2:4;SKN;57-1006;613;EXACT;dieu epargne anges ont peche precipites livres gardes [couverture 10/13]
Apocalypse 5:0;SKN;57-1006;677;VALIDE;chap->v.1: vis droite celui etait assis trone livre ecrit
Apocalypse 5:0;SKN;57-1006;678;VALIDE;chap->v.1: vis droite celui etait assis trone livre ecrit
Apocalypse 11:0;SKN;57-1006;624;VALIDE;chap->v.11: apres jours dieu entra pieds
Apocalypse 11:0;SKN;57-1006;710;VALIDE;chap->v.4: deux deux seigneur terre
Apocalypse 11:0;SKN;57-1006;712;VALIDE;chap->v.11: apres trois demi vie
Apocalypse 11:0;SKN;57-1006;716;VALIDE;chap->v.9: corps mort trois jours demi corps
Apocalypse 11:0;SKN;57-1006;725;VALIDE;chap->v.8: mort sera grande appelee spirituellement sodome egypte seigneur
Apocalypse 21:19;SKN;57-1006;668;VALIDE;etaient pierre etait jaspe
Esther 2:0;SKN;57-1006;615;VALIDE;chap->v.8: lorsque furent furent
Galates 1:8;SKN;57-1006;762;VALIDE;ange ciel soit anatheme
Genese 1:0;SKN;57-1006;601;VALIDE;chap->v.24: dieu terre vivants selon terre selon
Genese 1:28;SKN;57-1006;824;PARTIEL;commencé, pas achevé — dieu
Genese 2:0;SKN;57-1006;601;VALIDE;chap->v.23: fois celle mes celle sera femme quelle
Genese 2:0;SKN;57-1006;824;VALIDE;chap->v.8: dieu planta jardin placa avait forme
Genese 5:16;SKN;57-1006;600;PARTIEL;commencé, pas achevé — apres engendre
Genese 38:0;SKN;57-1006;693;VALIDE;chap->v.8: juda femme frere frere suscite frere
Genese 38:0;SKN;57-1006;706;VALIDE;chap->v.28: main sage lia main fil disant
Psaumes 23:0;SKN;57-1006;833;VALIDE;chap->v.4: meme vallee mort aucun
Daniel 12:1;SKN;62-0311;20;CORRIGE;annoncé 1 Pierre 5:8-10
Daniel 12:0;SKN;62-0311;119;VALIDE;chap->v.1: grand chef sera detresse tel quil
Daniel 12:1-14;SKN;62-0311;20;VALIDE;temps grand sera quil
Ephesiens 6:10;SKN;62-0311;197;VALIDE;reste mes freres fortifiez seigneur puissance force
Ephesiens 6:10-17;SKN;62-0311;20;PARTIEL;commencé, pas achevé — reste
Genese 3:1;SKN;62-0311;97;VALIDE;etait dieu jardin
Genese 3:4;SKN;62-0311;171;EXACT;serpent femme mourrez certainement [couverture 4/4]
Genese 3:4;SKN;62-0311;173;EXACT;serpent femme mourrez certainement [couverture 4/4]
Hebreux 4:0;SKN;62-0311;128;VALIDE;chap->v.12: parole dieu penetrante epee deux tranchants jusqua lame
Hebreux 4:0;SKN;62-0311;197;VALIDE;chap->v.7: fois certain jour disant david longtemps apres aujourdhui
Jacques 4:7;SKN;62-0311;197;VALIDE;dieu resistez diable
Matthieu 24:0;SKN;62-0311;119;VALIDE;chap->v.21: aura grande telle quil maintenant quil aura jamais
1 Rois 13:0;SKN;51-0722A;69;VALIDE;chap->v.23: apres quil eut mange apres quil eut quil
Hebreux 13:0;SKN;51-0722A;14;VALIDE;chap->v.12: cest pourquoi jesus afin quil sanctifie peuple propre
Matthieu 24:0;SKN;51-0722A;11;VALIDE;chap->v.2: lui voyez choses dis sera laisse ici soit
1 Rois 13:0;SKN;53-1114;33;VALIDE;chap->v.14: lhomme dieu assis lui lhomme dieu venu cest
Luc 11:24;SKN;53-1114;70;PARTIEL;commencé, pas achevé — homme
1 Rois 19:1-12;SKN;59-0412E;1;EXACT;achab jezabel avait comment tue lepee prophetes envoya [couverture 8/11]
Jean 4:0;SKN;59-0412E;58;VALIDE;chap->v.25: femme lui sais messie vient celui sera venu
1 Samuel 18:10;SKN;59-1219;88;VALIDE;mauvais esprit dieu saul
Actes 2:0;SKN;59-1219;33;VALIDE;chap->v.6: bruit ceci repandu multitude fut confondue chacun entendait
Actes 19:5;SKN;59-1219;17;PARTIEL;commencé, pas achevé — seigneur jesus
Hebreux 6:0;SKN;59-1219;203;VALIDE;chap->v.4: ceux ont ont goute saint
Hebreux 6:4-6;SKN;59-1219;160;VALIDE;ceux fois don saint parole
Hebreux 10:0;SKN;59-1219;168;VALIDE;chap->v.26: pechons volontairement apres recu connaissance verite sacrifice peches
Jean 3:3;SKN;59-1219;29;VALIDE;jesus lui dis voir royaume dieu
Jean 3:16;SKN;59-1219;29;VALIDE;dieu aime donne lui
Jean 5:24;SKN;59-1219;162;VALIDE;dis celui parole croit envoye vie eternelle vient
Jean 6:0;SKN;59-1219;162;VALIDE;chap->v.35: jesus moi vie celui vient moi jamais celui
Jean 14:0;SKN;59-1219;45;VALIDE;chap->v.10: moi suis pere pere moi moi moi meme
Jean 17:17;SKN;59-1219;39;EXACT;sanctifie verite parole [couverture 4/4]
Luc 24:49;SKN;59-1219;39;PARTIEL;commencé, pas achevé — pere
1 Thessaloniciens 4:16;SKN;65-0410;179;EXACT;lui meme dieu morts ressusciteront [couverture 5/14]
Apocalypse 1:17-18;SKN;65-0410;14;VALIDE;pieds mort disant premier dernier
Galates 1:8;SKN;65-0410;33;EXACT;ange ciel avons soit anatheme [couverture 5/11]
Hebreux 13:8;SKN;65-0410;162;VALIDE;jesus meme hier
Jean 1:0;SKN;65-0410;42;VALIDE;chap->v.1: commencement etait parole parole etait dieu parole etait
Jean 5:24;SKN;65-0410;74;EXACT;verite celui entend parole croit envoye vie eternelle [couverture 13/14]
Jean 14:12;SKN;65-0410;94;VALIDE;lui fais parce
Matthieu 27:0;SKN;65-0410;178;VALIDE;chap->v.57: venu etait joseph lui meme etait
Matthieu 27:51;SKN;65-0410;175;PARTIEL;commencé, pas achevé — voici terre
Matthieu 28:1-10;SKN;65-0410;14;VALIDE;jour sabbat premier semaine marie magdala voir sepulcre
Romains 8:11;SKN;65-0410;14;VALIDE;ressuscite jesus morts vos corps
Romains 8:11;SKN;65-0410;27;EXACT;celui ressuscite jesus morts habite vivifiera corps esprit [couverture 9/14]
Romains 8:11;SKN;65-0410;226;EXACT;celui ressuscite morts christ vos corps mortels [couverture 8/14]
1 Thessaloniciens 5:21;SKN;64-0816;60;VALIDE;choses retenez bon
Apocalypse 22:0;SKN;64-0816;160;VALIDE;chap->v.18: moi paroles livre ajoute dieu lui ajoutera
Esaie 9:6;SKN;64-0816;142;VALIDE;enfant fils donne sera nom dieu
Hebreux 4:12;SKN;64-0816;164;VALIDE;parole dieu epee deux tranchants jusqua
Hebreux 4:15;SKN;64-0816;250;VALIDE;souverain sacrificateur nos infirmites avons
Hebreux 6:0;SKN;64-0816;128;VALIDE;chap->v.4: impossible ceux ont fois eclaires ont saint
Hebreux 13:8;SKN;64-0816;222;VALIDE;jesus christ meme hier aujourdhui eternellement
Hebreux 13:8;SKN;64-0816;229;PARTIEL;commencé, pas achevé — jesus meme
Hebreux 13:8;SKN;64-0816;233;EXACT;jesus meme hier aujourdhui eternellement [couverture 5/6]
Hebreux 13:8;SKN;64-0816;250;VALIDE;meme hier aujourdhui eternellement
Jean 1:0;SKN;64-0816;149;VALIDE;chap->v.1: commencement etait parole parole etait dieu parole etait
Jean 5:19;SKN;64-0816;196;EXACT;jesus dis rien lui quil pere [couverture 6/14]
Jean 14:12;SKN;64-0816;220;EXACT;verite dis celui croit moi fera lui fais [couverture 9/14]
Jean 14:12;SKN;64-0816;223;VALIDE;verite dis moi fera lui fais grandes
Joel 2:28;SKN;64-0816;219;EXACT;arrivera apres cela repandrai esprit chair vos fils [couverture 9/14]
Luc 17:30;SKN;64-0816;221;EXACT;sera meme jour fils lhomme manifeste [couverture 5/7]
Luc 24:49;SKN;64-0816;219;EXACT;voici moi pere ville jusqua soyez revetus puissance [couverture 9/13]
Malachie 3:0;SKN;64-0816;86;VALIDE;chap->v.16: alors leternel ont leternel ecrit
Malachie 4:0;SKN;64-0816;122;VALIDE;chap->v.1: vient ceux vient
Malachie 4:0;SKN;64-0816;221;VALIDE;chap->v.1: voici jour vient ceux jour vient
Marc 4:0;SKN;64-0816;220;VALIDE;chap->v.20: ceux terre ceux parole lun lun lun
Marc 5:0;SKN;64-0816;56;VALIDE;chap->v.33: femme effrayee tremblante sachant lui etait arrive vint
Marc 16:0;SKN;64-0816;220;VALIDE;chap->v.16: celui cru baptise sera sauve celui cru sera
Matthieu 24:24;SKN;64-0816;212;PARTIEL;commencé, pas achevé — meme elus
1 Timothee 2:9;SKN;64-0823M;172;VALIDE;meme femmes parent dun tresses
Actes 10:47;SKN;64-0823M;62;VALIDE;leau afin ceux soient recu saint
Actes 19:0;SKN;64-0823M;90;VALIDE;chap->v.4: paul jean baptise bapteme repentance quils apres lui
Actes 22:16;SKN;64-0823M;62;VALIDE;maintenant leve sois baptise tes peches invoquant nom
Apocalypse 20:4;SKN;64-0823M;224;EXACT;assis jugement fut donne ames ceux decapites temoignage [couverture 9/14]
Galates 1:8;SKN;64-0823M;93;EXACT;ange ciel quil soit anatheme [couverture 5/11]
Genese 6:4;SKN;64-0823M;102;EXACT;geants etaient apres fils dieu furent venus filles [couverture 6/14]
Jean 5:19;SKN;64-0823M;162;EXACT;jesus verite dis fils rien lui quil chose [couverture 10/14]
Luc 21:36;SKN;64-0823M;157;VALIDE;choses arriver devant fils
Marc 16:0;SKN;64-0823M;215;VALIDE;chap->v.16: aura aura sera sauve sera
Matthieu 24:19;SKN;64-0823M;32;EXACT;malheur celles enceintes jours [couverture 5/6]
Matthieu 24:19;SKN;64-0823M;33;EXACT;malheur celles enceintes allaitent jours [couverture 5/6]
Matthieu 24:24;SKN;64-0823M;40;VALIDE;selevera faux christs prophetes grands prodiges
Matthieu 24:26;SKN;64-0823M;51;VALIDE;desert chambres croyez
Matthieu 24:28;SKN;64-0823M;52;VALIDE;soit mort sassembleront aigles
1 Timothee 3:0;SKN;56-0120;65;VALIDE;chap->v.7: quil ait dehors afin quil
1 Timothee 3:0;SKN;60-0710;68;VALIDE;chap->v.7: quil bon temoignage ceux quil
Matthieu 5:0;SKN;60-0710;62;VALIDE;chap->v.6: ceux ont faim soif justice cest eux seront
Matthieu 12:0;SKN;60-0710;28;VALIDE;chap->v.42: reine midi levera generation condamnera vint terre entendre
Matthieu 12:42;SKN;60-0710;28;VALIDE;reine midi levera generation condamnera vint terre entendre
1 Timothee 3:16;SKN;54-0402;32;VALIDE;contredit mystere piete grand dieu manifeste chair esprit
Actes 19:0;SKN;54-0402;2;VALIDE;chap->v.34: quil etait dune seule pres deux grande
1 Timothee 3:16;SKN;60-0608;48;VALIDE;contredit mystere piete grand dieu manifeste chair esprit
1 Timothee 3:16;SKN;60-1002;165;EXACT;contredit mystere piete grand dieu manifeste chair nations [couverture 8/14]
Jean 5:19;SKN;60-1002;216;EXACT;jesus verite dis fils rien lui meme chose [couverture 11/14]
1 Timothee 3:16;SKN;61-0212E;13;VALIDE;contredit mystere piete grand dieu manifeste chair parmi
Hebreux 13:8;SKN;61-0212E;8;VALIDE;jesus christ meme hier aujourdhui eternellement
Hebreux 13:8;SKN;61-0212E;10;EXACT;jesus meme hier aujourdhui eternellement [couverture 5/6]
Jean 4:0;SKN;61-0212E;43;VALIDE;chap->v.25: femme lui sais messie appele celui sera venu
Jean 4:0;SKN;61-0212E;70;VALIDE;chap->v.25: femme lui sais messie appele vient celui sera
Jean 4:0;SKN;61-0212E;71;VALIDE;chap->v.25: femme lui sais messie appele vient celui sera
Jean 5:19;SKN;61-0212E;11;EXACT;jesus verite dis fils rien lui meme quil [couverture 7/14]
Matthieu 14:27;SKN;61-0212E;21;EXACT;jesus parla aussitot disant cest moi nayez peur [couverture 5/11]
1 Timothee 3:16;SKN;62-0712;34;EXACT;contredit mystere piete grand dieu manifeste chair parmi [couverture 8/14]
Deuteronome 18:0;SKN;62-0712;50;VALIDE;chap->v.5: leternel dieu lui fils dentre tes quil toujours
Deuteronome 18:0;SKN;62-0712;51;VALIDE;chap->v.5: leternel dieu lui fils dentre tes quil toujours
Esaie 9:6;SKN;62-0712;48;VALIDE;enfant donne sera dieu pere
Hebreux 4:0;SKN;62-0712;83;VALIDE;chap->v.14: ayant grand souverain sacrificateur cieux jesus dieu confession
Hebreux 13:8;SKN;62-0712;25;VALIDE;jesus christ meme hier aujourdhui eternellement
Jean 4:0;SKN;62-0712;95;VALIDE;chap->v.50: jesus lui fils vit parole jesus lui avait
Jean 5:19;SKN;62-0712;71;EXACT;jesus verite dis fils rien lui meme quil [couverture 12/14]
Jean 6:0;SKN;62-0712;69;VALIDE;chap->v.35: jesus moi suis vie celui moi jamais celui
Malachie 3:0;SKN;62-0712;58;VALIDE;chap->v.16: alors ceux leternel ont parle leternel ecrit
Malachie 4:0;SKN;62-0712;58;VALIDE;chap->v.1: voici jour vient ceux jour vient
Matthieu 11:6;SKN;62-0712;58;PARTIEL;commencé, pas achevé — moi
1 Timothee 3:16;SKN;64-0401;40;EXACT;contredit mystere piete grand dieu manifeste chair cru [couverture 8/14]
Apocalypse 17:0;SKN;64-0401;110;VALIDE;chap->v.1: parla disant ici
Jean 4:0;SKN;64-0401;242;VALIDE;chap->v.10: lui don dieu donne moi lui
Jean 6:0;SKN;64-0401;169;VALIDE;chap->v.11: jesus ayant ceux etaient assis meme
Jean 14:12;SKN;64-0401;195;PARTIEL;commencé, pas achevé — celui
Luc 17:0;SKN;64-0401;195;VALIDE;chap->v.30: meme jour fils lhomme
Luc 17:0;SKN;64-0401;204;VALIDE;chap->v.30: sera meme jour fils lhomme sera manifeste
Malachie 3:6;SKN;64-0401;87;VALIDE;leternel change netes
Zacharie 14:6;SKN;64-0401;189;VALIDE;jour quil lumiere
1 Timothee 3:16;VGR;64-0112;8;EXACT;contredit mystere piete grand dieu manifeste chair [couverture 7/14]
Apocalypse 10:0;VGR;64-0112;170;VALIDE;chap->v.7: jours septieme ange sera mystere dieu sera
Apocalypse 17:0;VGR;64-0112;73;VALIDE;chap->v.2: laquelle terre ont terre ont vin
Esaie 60:0;VGR;64-0112;29;VALIDE;chap->v.2: voici tenebres terre lobscurite peuples toi leternel gloire
Esaie 60:1;VGR;64-0112;29;EXACT;leve toi lumiere gloire leternel [couverture 6/10]
Esaie 60:1;VGR;64-0112;115;EXACT;leve toi resplendis lumiere venue [couverture 6/10]
Esaie 62:0;VGR;64-0112;29;VALIDE;chap->v.11: voici leternel terre voici salut vient voici
Hebreux 1:0;VGR;64-0112;116;VALIDE;chap->v.1: dieu autrefois plusieurs reprises plusieurs manieres parle peres
Hebreux 4:0;VGR;64-0112;241;VALIDE;chap->v.10: celui repos lui sest repose uvres dieu sest
Jean 14:0;VGR;64-0112;172;VALIDE;chap->v.10: moi pere pere moi paroles moi moi pere
Psaumes 60:0;VGR;64-0112;29;VALIDE;chap->v.10: toi dieu dieu
Psaumes 62:0;VGR;64-0112;144;VALIDE;chap->v.8: lui temps lui dieu
Psaumes 62:1;VGR;64-0112;31;EXACT;dieu ame repose lui vient salut [couverture 6/8]
2 Chroniques 18:12;SKN;54-0509;33;EXACT;messager etait alle appeler michee lui parla disant [couverture 10/14]
2 Chroniques 18:22-27;SKN;56-1002A;4;VALIDE;maintenant voici leternel mis esprit mensonge bouche tes
2 Chroniques 18:22-27;SKN;56-1002A;5;VALIDE;maintenant voici leternel mis esprit mensonge bouche tes
Esaie 40:0;SKN;56-1002A;52;VALIDE;chap->v.14: lui donne instruit juste lui enseigne lui
Hebreux 3:0;SKN;56-1002A;36;VALIDE;chap->v.10: cest jai contre jai nont
Luc 24:49;SKN;56-1002A;54;VALIDE;voici moi jusqua soyez revetus puissance den haut
Marc 16:0;SKN;56-1002A;59;VALIDE;chap->v.19: seigneur apres parle fut ciel dieu
2 Chroniques 22:0;SKN;63-1128M;134;VALIDE;chap->v.3: lui maison etait
2 Corinthiens 9:0;SKN;63-1128M;14;VALIDE;chap->v.12: parce beaucoup graces rendues dieu
Marc 11:22;SKN;63-1128M;64;PARTIEL;commencé, pas achevé — dieu
Psaumes 23:0;SKN;63-1128M;5;VALIDE;chap->v.4: meme mort mal eux
2 Chroniques 26:0;SKN;62-1013;63;VALIDE;chap->v.21: roi ozias fut lepreux jour lepreux maison fut
Actes 1:8;SKN;62-1013;151;EXACT;recevrez puissance saint venant serez mes temoins jerusalem [couverture 8/14]
Hebreux 13:8;SKN;62-1013;16;EXACT;jesus christ meme hier aujourdhui eternellement [couverture 5/6]
Jean 14:7;SKN;62-1013;19;PARTIEL;commencé, pas achevé — pere maintenant
Jean 15:0;SKN;62-1013;20;VALIDE;chap->v.2: sarment moi porte fruit sarment porte fruit afin
Luc 24:49;SKN;62-1013;151;EXACT;voici moi promesse pere demeurez ville jusqua soyez [couverture 12/13]
Luc 24:49;SKN;62-1013;152;EXACT;voici moi promesse pere demeurez ville jusqua soyez [couverture 12/13]
2 Chroniques 26:0;SKN;64-0315;74;VALIDE;chap->v.1: ozias etait ans roi place pere amatsia
2 Chroniques 26:0;SKN;64-0315;82;VALIDE;chap->v.5: dieu avait dieu leternel dieu
