ref;traduction;code;paragraphe;statut;cadre;note
Actes 1:8;SKN;62-0607;84;VALIDE;CONCEPT;recevrez puissance saint serez mes temoins jerusalem judee
Hebreux 13:8;SKN;62-0607;91;VALIDE;CONCEPT;jesus meme hier eternellement
Jean 14:12;SKN;62-0607;78;EXACT;CONCEPT;dis celui croit moi fera lui fais grandes [couverture 5/14]
Job 14:14;SKN;62-0607;53;VALIDE;CONCEPT;chapitre résolu v14 (5 mots: changer detresse etat meurt revivra)
Luc 24:49;SKN;62-0607;84;VALIDE;CONCEPT;voici promesse pere ville soyez revetus puissance
Marc 16:17;SKN;62-0607;89;VALIDE;CONCEPT;chapitre résolu v17 (8 mots: accompagneront auront chasseront cru demons langues nouvelles parleront)
Marc 16:18;SKN;62-0607;89;VALIDE;CONCEPT;chapitre résolu v18 (4 mots: auront imposeront mortel serpents)
Actes 1:8;SKN;62-0909M;26;VALIDE;CONCEPT;recevrez puissance saint esprit venant serez mes temoins
Hebreux 13:8;SKN;62-0909M;26;VALIDE;CONCEPT;jesus christ meme hier eternellement
Jean 5:7;SKN;62-0909M;26;VALIDE;CONCEPT;malade lui seigneur nai personne lorsque pendant moi
Jean 5:24;SKN;62-0909M;26;VALIDE;CONCEPT;verite dis celui entend parole croit envoye vie
Actes 1:8;SKN;62-1007;141;EXACT;CONCEPT;recevrez puissance saint serez mes temoins jerusalem judee [couverture 11/14]
Actes 19:4;SKN;62-1007;139;VALIDE;CONCEPT;chapitre résolu v4 (3 mots: bapteme baptise paul)
Jean 5:7;SKN;62-1007;140;VALIDE;CONCEPT;seigneur nai leau
Jean 5:24;SKN;62-1007;137;EXACT;CONCEPT;celui parole croit envoye vie eternelle mort [couverture 7/14]
Actes 1:8;VGR;56-1125M;114;EXACT;CONCEPT;recevrez puissance saint esprit venant serez [couverture 6/14]
Actes 1:8;VGR;59-1216;101;EXACT;CONCEPT;recevrez puissance saint serez mes temoins jerusalem judee [couverture 11/14]
Actes 2:15;VGR;59-1216;97;VALIDE;CONCEPT;chapitre résolu v15 (3 mots: heure ivres troisieme)
Actes 2:17;VGR;59-1216;97;VALIDE;CONCEPT;chapitre résolu v17 (9 mots: chair derniers filles jeunes prophetiseront repandrai songes vieillards)
Actes 2:18;VGR;59-1216;97;VALIDE;CONCEPT;chapitre résolu v18 (3 mots: prophetiseront repandrai serviteurs)
Actes 2:20;VGR;59-1216;97;VALIDE;CONCEPT;chapitre résolu v20 (3 mots: lune soleil tenebres)
Actes 2:21;VGR;59-1216;97;VALIDE;CONCEPT;chapitre résolu v21 (3 mots: invoquera quiconque sauve)
Actes 2:22;VGR;59-1216;97;VALIDE;CONCEPT;chapitre résolu v22 (3 mots: israelites paroles prodiges)
Actes 8:14;VGR;59-1216;124;VALIDE;CONCEPT;etaient jerusalem ayant avait recu parole dieu pierre
Ephesiens 4:30;VGR;59-1216;45;EXACT;CONCEPT;nattristez saint dieu lequel avez scelles jour redemption [couverture 8/9]
Ephesiens 4:30;VGR;59-1216;46;EXACT;CONCEPT;nattristez saint dieu lequel avez scelles jour redemption [couverture 8/9]
Esaie 28:8;VGR;59-1216;67;VALIDE;CONCEPT;chapitre résolu v8 (3 mots: pleines sales tables)
Galates 1:8;VGR;59-1216;131;VALIDE;CONCEPT;ange venu ciel avons quil soit anatheme
Galates 3:29;VGR;59-1216;40;EXACT;CONCEPT;etes christ dabraham heritiers selon promesse [couverture 7/8]
Hebreux 4:10;VGR;59-1216;95;VALIDE;CONCEPT;chapitre résolu v10 (4 mots: repos repose siennes uvres)
Jean 2:1;VGR;59-1216;60;PARTIEL;CONCEPT;commencé, pas achevé — jesus
Jean 2:12;VGR;59-1216;60;PARTIEL;CONCEPT;commencé, pas achevé — lui
Jean 14:10;VGR;59-1216;56;VALIDE;CONCEPT;chapitre résolu v10 (3 mots: demeure paroles uvres)
Jean 14:12;VGR;59-1216;56;VALIDE;CONCEPT;chapitre résolu v12 (4 mots: croit grandes men uvres)
Jean 14:15;VGR;59-1216;56;VALIDE;CONCEPT;chapitre résolu v15 (3 mots: commandements gardez maimez)
Jean 14:16;VGR;59-1216;56;VALIDE;CONCEPT;chapitre résolu v16 (4 mots: consolateur donnera eternellement prierai)
Jean 14:17;VGR;59-1216;56;VALIDE;CONCEPT;chapitre résolu v17 (5 mots: connaissez connait demeure recevoir voit)
Jean 14:18;VGR;59-1216;56;VALIDE;CONCEPT;chapitre résolu v18 (3 mots: laisserai orphelins viens)
Jean 14:19;VGR;59-1216;56;VALIDE;CONCEPT;chapitre résolu v19 (3 mots: verra verrez vis)
Jean 14:24;VGR;59-1216;56;VALIDE;CONCEPT;chapitre résolu v24 (3 mots: celle envoye paroles)
Jean 16:7;VGR;59-1216;59;EXACT;CONCEPT;dis verite avantageux moi men aille vais consolateur [couverture 13/14]
Joel 2:28;VGR;59-1216;96;EXACT;CONCEPT;apres cela repandrai esprit chair vos fils filles [couverture 12/14]
Luc 24:49;VGR;59-1216;98;VALIDE;CONCEPT;voici pere ville jusqua soyez revetus puissance den
Romains 4:17;VGR;59-1216;41;VALIDE;CONCEPT;chapitre résolu v17 (3 mots: nations plusieurs selon)
Romains 4:18;VGR;59-1216;41;VALIDE;CONCEPT;chapitre résolu v18 (3 mots: nations plusieurs selon)
Actes 1:8;VGR;62-0909M;39;EXACT;CONCEPT;recevrez puissance saint esprit serez mes temoins [couverture 5/14]
Hebreux 13:8;VGR;62-0909M;91;VALIDE;CONCEPT;jesus meme hier aujourdhui eternellement
Jean 5:7;VGR;62-0909M;36;VALIDE;CONCEPT;seigneur nai lorsque leau
Jean 5:24;VGR;62-0909M;38;EXACT;CONCEPT;dis celui parole croit envoye vie eternelle passe [couverture 7/14]
Actes 1:8;VGR;62-1007;141;EXACT;CONCEPT;recevrez puissance saint esprit serez mes temoins jerusalem [couverture 10/14]
Actes 19:4;VGR;62-1007;139;VALIDE;CONCEPT;chapitre résolu v4 (3 mots: bapteme baptise paul)
Actes 19:21;VGR;62-1007;139;VALIDE;CONCEPT;chapitre résolu v21 (3 mots: jerusalem passer paul)
Jean 5:7;VGR;62-1007;140;VALIDE;CONCEPT;seigneur nai personne leau
Jean 5:24;VGR;62-1007;137;EXACT;CONCEPT;verite celui parole croit envoye vie eternelle passe [couverture 7/14]
Actes 1:8;VGR;62-1013;152;EXACT;CONCEPT;recevrez puissance saint esprit serez mes temoins jerusalem [couverture 8/14]
Hebreux 13:8;VGR;62-1013;16;EXACT;CONCEPT;jesus christ meme hier aujourdhui eternellement [couverture 5/6]
Jean 14:7;VGR;62-1013;19;PARTIEL;CONCEPT;commencé, pas achevé — pere maintenant
Jean 15:5;VGR;62-1013;20;VALIDE;CONCEPT;chapitre résolu v5 (3 mots: cep fruit sarments)
Luc 24:49;VGR;62-1013;152;EXACT;CONCEPT;voici moi promesse pere ville jusqua soyez revetus [couverture 11/13]
Actes 2:22;SKN;52-0716;30;VALIDE;CONCEPT;chapitre résolu v22 (8 mots: approuve israelites memes milieu miracles paroles prodiges signes)
Actes 2:24;SKN;52-0716;30;VALIDE;CONCEPT;chapitre résolu v24 (3 mots: ayant lequel possible)
Actes 2:22;SKN;52-0716;30;VALIDE;CONCEPT;hommes israelites ecoutez paroles jesus homme approuve dieu
Ephesiens 4:30;SKN;52-0716;37;VALIDE;CONCEPT;nattristez saint dieu lequel avez scelles jour redemption
Hebreux 9:4;SKN;52-0716;28;VALIDE;CONCEPT;chapitre résolu v4 (3 mots: ayant entierement tables)
Hebreux 9:9;SKN;52-0716;28;VALIDE;CONCEPT;chapitre résolu v9 (3 mots: conscience culte rend)
Jean 5:19;SKN;52-0716;26;EXACT;CONCEPT;jesus verite dis fils rien lui meme quil [couverture 6/14]
Jean 16:30;SKN;52-0716;30;EXACT;CONCEPT;maintenant savons choses personne cause cela venu dieu [couverture 6/14]
Jean 17:25;SKN;52-0716;34;VALIDE;CONCEPT;chapitre résolu v25 (3 mots: connu mas tai)
Actes 2:38;SKN;54-0103M;42;VALIDE;CONCEPT;chapitre résolu v38 (4 mots: baptise don recevrez repentez)
Actes 10:49;SKN;54-0103M;42;LAPSUS;CONCEPT;annoncé — dit en réalité actes 10:48
actes 10:48;SKN;54-0103M;42;LAPSUS-LU;CONCEPT;lu — annoncé sous Actes 10:49
Actes 19:1;SKN;54-0103M;44;VALIDE;CONCEPT;chapitre résolu v1 (3 mots: disciples ephese paul)
Actes 19:3;SKN;54-0103M;44;VALIDE;CONCEPT;chapitre résolu v3 (3 mots: bapteme baptises dirent)
Actes 19:4;SKN;54-0103M;44;VALIDE;CONCEPT;chapitre résolu v4 (4 mots: bapteme baptise paul repentance)
Actes 19:5;SKN;54-0103M;41;VALIDE;CONCEPT;baptises nom jesus
Apocalypse 1:14;SKN;54-0103M;99;VALIDE;CONCEPT;chapitre résolu v14 (3 mots: blancs cheveux laine)
Apocalypse 6:5;SKN;54-0103M;194;VALIDE;CONCEPT;chapitre résolu v5 (3 mots: ouvrit sceau vis)
Apocalypse 6:9;SKN;54-0103M;194;VALIDE;CONCEPT;chapitre résolu v9 (4 mots: cinquieme ouvrit sceau vis)
Apocalypse 6:12;SKN;54-0103M;194;VALIDE;CONCEPT;chapitre résolu v12 (3 mots: ouvrit sceau vis)
Apocalypse 11:6;SKN;54-0103M;69;VALIDE;CONCEPT;chapitre résolu v6 (4 mots: plaies pouvoir prophetie voudront)
Apocalypse 11:6;SKN;54-0103M;70;VALIDE;CONCEPT;chapitre résolu v6 (4 mots: plaies pouvoir prophetie voudront)
Ephesiens 4:30;SKN;54-0103M;210;EXACT;CONCEPT;saint dieu lequel avez scelles jour redemption [couverture 7/9]
Ezechiel 9:4;SKN;54-0103M;208;VALIDE;CONCEPT;chapitre résolu v4 (6 mots: abominations commettent gemissent jerusalem marque soupirent)
Luc 21:24;SKN;54-0103M;51;EXACT;CONCEPT;parmi nations jerusalem sera pieds [couverture 6/14]
Matthieu 2:14;SKN;54-0103M;54;VALIDE;CONCEPT;chapitre résolu v14 (3 mots: egypte nuit retira)
Matthieu 2:15;SKN;54-0103M;54;VALIDE;CONCEPT;chapitre résolu v15 (4 mots: accompli appele fut hors)
Matthieu 2:23;SKN;54-0103M;54;VALIDE;CONCEPT;chapitre résolu v23 (3 mots: accompli appele fut)
Apocalypse 7:1;SKN;54-0514;239;VALIDE;CONCEPT;chapitre résolu v1 (11 mots: anges arbre aucun coins debout mer retenant souffle)
Apocalypse 7:2;SKN;54-0514;239;VALIDE;CONCEPT;chapitre résolu v2 (8 mots: ange anges cria mer sceau vis vivant voix)
Apocalypse 7:3;SKN;54-0514;239;VALIDE;CONCEPT;chapitre résolu v3 (4 mots: arbres ayons front mer)
Apocalypse 12:1;SKN;54-0514;52;VALIDE;CONCEPT;chapitre résolu v1 (3 mots: lune pieds soleil)
Ephesiens 4:30;SKN;54-0514;165;EXACT;CONCEPT;saint dieu lequel avez scelles jour redemption [couverture 7/9]
Ephesiens 4:30;SKN;54-0514;173;EXACT;CONCEPT;saint dieu lequel avez scelles jour redemption [couverture 7/9]
Ephesiens 4:30;SKN;54-0514;261;VALIDE;CONCEPT;saint dieu jour
Hebreux 12:1;SKN;54-0514;52;VALIDE;CONCEPT;chapitre résolu v1 (4 mots: enveloppe fardeau nuee temoins)
Hebreux 13:8;SKN;54-0514;38;VALIDE;CONCEPT;jesus meme hier eternellement
Jean 17:17;SKN;54-0514;150;EXACT;CONCEPT;sanctifie verite parole [couverture 4/4]
Actes 2:22;SKN;54-0809A;49;VALIDE;CONCEPT;chapitre résolu v22 (6 mots: israelites memes milieu miracles prodiges signes)
Ephesiens 4:30;SKN;54-0809A;28;VALIDE;CONCEPT;nattristez saint dieu lequel avez scelles jour redemption
Actes 2:22;SKN;54-1024;111;VALIDE;CONCEPT;chapitre résolu v22 (5 mots: israelites milieu miracles prodiges signes)
Ephesiens 4:30;SKN;54-1024;56;EXACT;CONCEPT;saint esprit dieu lequel avez scelles jour redemption [couverture 8/9]
Romains 8:1;SKN;54-1024;36;VALIDE;CONCEPT;maintenant aucune condamnation ceux christ jesus
Actes 2:38;SKN;54-1231;76;EXACT;CONCEPT;pierre repentez chacun jesus don [couverture 5/14]
Jean 5:24;SKN;54-1231;84;EXACT;CONCEPT;celui parole croit envoye vie eternelle [couverture 7/14]
Actes 2:17;SKN;55-0302;20;VALIDE;CONCEPT;chapitre résolu v17 (3 mots: chair derniers filles)
Actes 2:22;SKN;55-0302;20;VALIDE;CONCEPT;chapitre résolu v22 (4 mots: israelites milieu prodiges signes)
Amos 8:11;SKN;55-0302;48;VALIDE;CONCEPT;seigneur famine pain dentendre
Jean 5:6;SKN;55-0625;36;VALIDE;CONCEPT;chapitre résolu v6 (3 mots: couche gueri sachant)
Jean 5:10;SKN;55-0625;36;VALIDE;CONCEPT;chapitre résolu v10 (3 mots: gueri juifs lit)
Jean 5:11;SKN;55-0625;36;VALIDE;CONCEPT;chapitre résolu v11 (3 mots: gueri lit prends)
Jean 5:15;SKN;55-0625;36;VALIDE;CONCEPT;chapitre résolu v15 (3 mots: gueri juifs sen)
Jean 5:19;SKN;55-0625;36;EXACT;CONCEPT;jesus verite dis fils rien lui meme quil [couverture 7/14]
Jean 11:43;SKN;55-0625;24;VALIDE;CONCEPT;chapitre résolu v43 (3 mots: haute lazare sors)
Jean 14:1;SKN;55-0625;4;VALIDE;LECTURE;soit trouble croyez dieu moi
Actes 2:22;SKN;55-0806;42;VALIDE;CONCEPT;chapitre résolu v22 (6 mots: israelites memes milieu miracles prodiges signes)
Actes 10:49;SKN;55-0806;54;LAPSUS;CONCEPT;annoncé — dit en réalité actes 10:48
actes 10:48;SKN;55-0806;54;LAPSUS-LU;CONCEPT;lu — annoncé sous Actes 10:49
Hebreux 13:8;SKN;55-0806;13;VALIDE;LECTURE;jesus meme hier eternellement
Jean 5:2;SKN;55-0806;48;VALIDE;CONCEPT;chapitre résolu v2 (5 mots: ayant bethesda brebis portiques pres)
Jean 5:3;SKN;55-0806;48;VALIDE;CONCEPT;chapitre résolu v3 (5 mots: attendant boiteux couches membres mouvement)
Jean 5:4;SKN;55-0806;48;VALIDE;CONCEPT;chapitre résolu v4 (8 mots: agitait agitee ange descendait entrait gueri maladie premier)
Jean 5:19;SKN;55-0806;72;EXACT;CONCEPT;jesus verite dis fils rien lui meme voie [couverture 7/14]
Jean 14:7;SKN;55-0806;53;PARTIEL;CONCEPT;commencé, pas achevé — pere maintenant
Luc 2:4;SKN;55-0806;34;VALIDE;CONCEPT;chapitre résolu v4 (3 mots: galilee joseph nazareth)
Luc 2:39;SKN;55-0806;34;VALIDE;CONCEPT;chapitre résolu v39 (3 mots: accompli galilee nazareth)
Marc 16:17;SKN;55-0806;58;VALIDE;CONCEPT;chapitre résolu v17 (5 mots: accompagneront auront cru langues signes)
Actes 2:22;SKN;55-0815;31;VALIDE;CONCEPT;chapitre résolu v22 (7 mots: aupres israelites memes milieu paroles prodiges signes)
Jean 5:9;SKN;55-0815;28;VALIDE;CONCEPT;chapitre résolu v9 (3 mots: gueri lit sabbat)
Jean 5:10;SKN;55-0815;28;VALIDE;CONCEPT;chapitre résolu v10 (3 mots: gueri lit sabbat)
Jean 5:11;SKN;55-0815;28;VALIDE;CONCEPT;chapitre résolu v11 (3 mots: gueri lit prends)
Jean 5:13;SKN;55-0815;28;VALIDE;CONCEPT;chapitre résolu v13 (3 mots: foule gueri retire)
Jean 5:19;SKN;55-0815;28;EXACT;CONCEPT;jesus verite dis fils rien lui meme chose [couverture 8/14]
Jean 5:19;SKN;55-0815;29;EXACT;CONCEPT;jesus verite dis fils rien lui meme chose [couverture 9/14]
Actes 2:22;SKN;55-1008;66;VALIDE;CONCEPT;chapitre résolu v22 (7 mots: approuve faits israelites milieu miracles prodiges signes)
Ephesiens 4:30;SKN;55-1008;38;VALIDE;CONCEPT;nattristez saint dieu lequel avez scelles jour redemption
Esaie 28:8;SKN;55-1008;39;VALIDE;CONCEPT;tables pleines sorte quil place
Hebreux 3:1;SKN;55-1008;25;VALIDE;CONCEPT;chapitre résolu v1 (3 mots: confession sacrificateur souverain)
Hebreux 4:10;SKN;55-1008;40;VALIDE;CONCEPT;chapitre résolu v10 (4 mots: repos repose siennes uvres)
Jean 3:16;SKN;55-1008;20;EXACT;CONCEPT;dieu aime monde quil donne afin lui [couverture 8/14]
Jean 5:19;SKN;55-1008;81;EXACT;CONCEPT;jesus verite dis fils rien lui meme quil [couverture 6/14]
Actes 2:22;SKN;55-1113;63;VALIDE;CONCEPT;chapitre résolu v22 (7 mots: aupres israelites memes milieu miracles prodiges signes)
Actes 2:43;SKN;55-1113;63;VALIDE;CONCEPT;chapitre résolu v43 (3 mots: apotres miracles prodiges)
Jean 5:2;SKN;55-1113;54;VALIDE;CONCEPT;chapitre résolu v2 (3 mots: bethesda deau pres)
Jean 5:3;SKN;55-1113;54;VALIDE;CONCEPT;chapitre résolu v3 (8 mots: attendant boiteux couches daveugles dinfirmes leau mouvement multitude)
Jean 5:4;SKN;55-1113;54;VALIDE;CONCEPT;chapitre résolu v4 (6 mots: agitait agitee ange descendait leau premier)
Jean 5:3;SKN;55-1113;60;VALIDE;CONCEPT;chapitre résolu v3 (4 mots: attendant boiteux couches membres)
Jean 5:9;SKN;55-1113;60;VALIDE;CONCEPT;chapitre résolu v9 (4 mots: fut gueri lit sabbat)
Jean 5:10;SKN;55-1113;60;VALIDE;CONCEPT;chapitre résolu v10 (4 mots: gueri juifs lit sabbat)
Jean 5:13;SKN;55-1113;60;VALIDE;CONCEPT;chapitre résolu v13 (3 mots: foule gueri retire)
Jean 5:19;SKN;55-1113;62;EXACT;CONCEPT;jesus verite dis fils rien lui meme quil [couverture 6/14]
Jean 14:7;SKN;55-1113;62;PARTIEL;CONCEPT;commencé, pas achevé — pere maintenant
Marc 16:17;SKN;55-1113;33;VALIDE;CONCEPT;chapitre résolu v17 (3 mots: accompagneront auront cru)
Marc 16:17;SKN;55-1113;34;VALIDE;CONCEPT;chapitre résolu v17 (3 mots: accompagneront auront cru)
Actes 2:15;SKN;56-0115;2;VALIDE;LECTURE;chapitre résolu v15 (4 mots: heure ivres pensez troisieme)
Actes 2:17;SKN;56-0115;2;VALIDE;LECTURE;chapitre résolu v17 (9 mots: chair derniers filles jeunes prophetiseront repandrai songes vieillards)
Actes 2:18;SKN;56-0115;2;VALIDE;LECTURE;chapitre résolu v18 (4 mots: prophetiseront repandrai servantes serviteurs)
Actes 2:19;SKN;56-0115;2;VALIDE;LECTURE;chapitre résolu v19 (3 mots: fumee prodiges vapeur)
Actes 2:20;SKN;56-0115;2;VALIDE;LECTURE;chapitre résolu v20 (4 mots: lune soleil tenebres vienne)
Actes 2:21;SKN;56-0115;2;VALIDE;LECTURE;chapitre résolu v21 (3 mots: invoquera quiconque sauve)
Actes 2:22;SKN;56-0115;2;VALIDE;LECTURE;chapitre résolu v22 (3 mots: miracles paroles prodiges)
Joel 2:28;SKN;56-0115;2;VALIDE;LECTURE;chapitre résolu v28 (8 mots: chair filles jeunes prophetiseront repandrai songes vieillards visions)
Joel 2:29;SKN;56-0115;2;VALIDE;LECTURE;chapitre résolu v29 (3 mots: repandrai servantes serviteurs)
Joel 2:31;SKN;56-0115;2;VALIDE;LECTURE;chapitre résolu v31 (4 mots: lune soleil tenebres vienne)
Joel 2:32;SKN;56-0115;2;VALIDE;LECTURE;chapitre résolu v32 (3 mots: invoquera quiconque sauve)
Joel 2:28;SKN;56-0115;2;VALIDE;LECTURE;apres cela repandrai esprit chair vos fils filles
Actes 2:38;SKN;56-0121;56;VALIDE;CONCEPT;chapitre résolu v38 (5 mots: baptise don peches recevrez repentez)
Actes 2:15;SKN;56-0122;29;VALIDE;CONCEPT;chapitre résolu v15 (3 mots: heure ivres troisieme)
Actes 2:17;SKN;56-0122;29;VALIDE;CONCEPT;chapitre résolu v17 (9 mots: chair derniers filles jeunes prophetiseront repandrai songes vieillards)
Actes 2:18;SKN;56-0122;29;VALIDE;CONCEPT;chapitre résolu v18 (4 mots: prophetiseront repandrai servantes serviteurs)
Actes 2:19;SKN;56-0122;29;VALIDE;CONCEPT;chapitre résolu v19 (3 mots: fumee prodiges vapeur)
Actes 2:20;SKN;56-0122;29;VALIDE;CONCEPT;chapitre résolu v20 (3 mots: lune soleil tenebres)
Actes 2:21;SKN;56-0122;29;VALIDE;CONCEPT;chapitre résolu v21 (3 mots: invoquera quiconque sauve)
Ephesiens 4:30;SKN;56-0122;93;VALIDE;CONCEPT;saint dieu lequel avez jour redemption
Hebreux 11:4;SKN;56-0122;69;VALIDE;CONCEPT;chapitre résolu v4 (6 mots: abel cain excellent offrit sacrifice temoignage)
Jean 3:14;SKN;56-0122;111;VALIDE;CONCEPT;chapitre résolu v14 (4 mots: desert eleva eleve serpent)
Joel 2:28;SKN;56-0122;29;VALIDE;CONCEPT;chapitre résolu v28 (8 mots: chair filles jeunes prophetiseront repandrai songes vieillards visions)
Joel 2:29;SKN;56-0122;29;VALIDE;CONCEPT;chapitre résolu v29 (3 mots: repandrai servantes serviteurs)
Joel 2:31;SKN;56-0122;29;VALIDE;CONCEPT;chapitre résolu v31 (3 mots: lune soleil tenebres)
Joel 2:32;SKN;56-0122;29;VALIDE;CONCEPT;chapitre résolu v32 (3 mots: invoquera quiconque sauve)
Actes 2:22;SKN;56-0403;47;VALIDE;CONCEPT;chapitre résolu v22 (6 mots: approuve faits israelites milieu miracles prodiges)
Jean 7:12;SKN;56-0403;42;VALIDE;CONCEPT;avait grande homme
Actes 2:5;SKN;56-0419;42;VALIDE;CONCEPT;chapitre résolu v5 (3 mots: dentre jerusalem juifs)
Actes 2:22;SKN;56-0419;42;VALIDE;CONCEPT;chapitre résolu v22 (4 mots: israelites milieu prodiges signes)
Actes 2:43;SKN;56-0419;42;VALIDE;CONCEPT;chapitre résolu v43 (3 mots: ame faisaient prodiges)
Ephesiens 4:30;SKN;56-0419;49;VALIDE;CONCEPT;nattristez saint esprit dieu lequel avez jour redemption
Jean 5:3;SKN;56-0419;35;VALIDE;CONCEPT;chapitre résolu v3 (5 mots: attendant boiteux couches leau mouvement)
Jean 5:4;SKN;56-0419;35;VALIDE;CONCEPT;chapitre résolu v4 (7 mots: agitee ange descendait gueri leau maladie premier)
Jean 5:30;SKN;56-0419;35;VALIDE;CONCEPT;chapitre résolu v30 (3 mots: cherche envoye volonte)
Jean 5:3;SKN;56-0419;36;VALIDE;CONCEPT;chapitre résolu v3 (5 mots: attendant boiteux couches leau mouvement)
Jean 5:4;SKN;56-0419;36;VALIDE;CONCEPT;chapitre résolu v4 (7 mots: agitee ange descendait gueri leau maladie premier)
Jean 5:6;SKN;56-0419;36;VALIDE;CONCEPT;chapitre résolu v6 (3 mots: couche etat gueri)
Jean 5:7;SKN;56-0419;36;VALIDE;CONCEPT;chapitre résolu v7 (3 mots: agitee leau nai)
Jean 5:9;SKN;56-0419;36;VALIDE;CONCEPT;chapitre résolu v9 (3 mots: fut gueri lit)
Jean 5:10;SKN;56-0419;36;VALIDE;CONCEPT;chapitre résolu v10 (3 mots: gueri juifs lit)
Jean 5:11;SKN;56-0419;36;VALIDE;CONCEPT;chapitre résolu v11 (3 mots: gueri lit prends)
Jean 5:18;SKN;56-0419;36;VALIDE;CONCEPT;chapitre résolu v18 (3 mots: juifs mourir propre)
Jean 5:30;SKN;56-0419;36;VALIDE;CONCEPT;chapitre résolu v30 (4 mots: cherche envoye selon volonte)
Jean 5:3;SKN;56-0419;38;VALIDE;CONCEPT;chapitre résolu v3 (3 mots: boiteux couches leau)
Jean 5:4;SKN;56-0419;38;VALIDE;CONCEPT;chapitre résolu v4 (7 mots: agitee ange descendait gueri leau maladie premier)
Jean 5:6;SKN;56-0419;38;VALIDE;CONCEPT;chapitre résolu v6 (3 mots: couche etat gueri)
Jean 5:7;SKN;56-0419;38;VALIDE;CONCEPT;chapitre résolu v7 (3 mots: agitee leau nai)
Jean 5:9;SKN;56-0419;38;VALIDE;CONCEPT;chapitre résolu v9 (3 mots: fut gueri lit)
Jean 5:10;SKN;56-0419;38;VALIDE;CONCEPT;chapitre résolu v10 (3 mots: gueri juifs lit)
Jean 5:11;SKN;56-0419;38;VALIDE;CONCEPT;chapitre résolu v11 (3 mots: gueri lit prends)
Jean 5:15;SKN;56-0419;38;VALIDE;CONCEPT;chapitre résolu v15 (3 mots: gueri juifs lavait)
Jean 5:18;SKN;56-0419;38;VALIDE;CONCEPT;chapitre résolu v18 (3 mots: juifs mourir propre)
Jean 5:30;SKN;56-0419;38;VALIDE;CONCEPT;chapitre résolu v30 (4 mots: cherche envoye selon volonte)
Marc 16:16;SKN;56-0419;47;VALIDE;CONCEPT;chapitre résolu v16 (4 mots: baptise condamne cru sauve)
Marc 16:17;SKN;56-0419;47;VALIDE;CONCEPT;chapitre résolu v17 (3 mots: accompagneront auront cru)
Actes 2:2;SKN;56-1004;41;VALIDE;CONCEPT;chapitre résolu v2 (5 mots: coup impetueux remplit souffle violent)
Actes 2:42;SKN;56-1004;41;VALIDE;CONCEPT;chapitre résolu v42 (3 mots: communion pain prieres)
Actes 2:46;SKN;56-1004;41;VALIDE;CONCEPT;chapitre résolu v46 (3 mots: accord commun pain)
Actes 2:37;SKN;57-0925;108;VALIDE;CONCEPT;chapitre résolu v37 (4 mots: apotres dirent eurent ferons)
Actes 2:38;SKN;57-0925;108;VALIDE;CONCEPT;chapitre résolu v38 (5 mots: baptise don peches recevrez repentez)
Actes 2:41;SKN;57-0925;108;VALIDE;CONCEPT;chapitre résolu v41 (3 mots: baptises furent recurent)
Actes 2:38;SKN;57-0925;158;VALIDE;CONCEPT;chapitre résolu v38 (3 mots: baptise peches remission)
Actes 2:22;SKN;57-0925;213;VALIDE;CONCEPT;chapitre résolu v22 (4 mots: approuve milieu prodiges signes)
Actes 2:38;SKN;57-0925;103;VALIDE;CONCEPT;chacun jesus don
Actes 2:38;SKN;57-0925;105;VALIDE;CONCEPT;nom jesus don saint
Actes 2:38;SKN;57-0925;107;EXACT;CONCEPT;pierre repentez chacun soit baptise nom jesus christ [couverture 5/14]
Actes 2:38;SKN;57-0925;109;EXACT;CONCEPT;pierre repentez chacun soit baptise nom jesus christ [couverture 12/14]
Actes 2:38;SKN;57-0925;115;VALIDE;CONCEPT;baptise jesus don
Actes 10:49;SKN;57-0925;111;LAPSUS;CONCEPT;annoncé — dit en réalité actes 10:48
actes 10:48;SKN;57-0925;111;LAPSUS-LU;CONCEPT;lu — annoncé sous Actes 10:49
Ephesiens 4:30;SKN;57-0925;50;EXACT;CONCEPT;saint dieu lequel avez scelles jour redemption [couverture 7/9]
Galates 1:8;SKN;57-0925;161;VALIDE;CONCEPT;ange ciel soit anatheme
Genese 3:8;SKN;57-0925;178;EXACT;CONCEPT;entendirent voix dieu jardin jour femme cacherent milieu [couverture 7/14]
Genese 3:8;SKN;57-0925;217;VALIDE;CONCEPT;jardin jour femme
Hebreux 11:1;SKN;57-0925;168;PARTIEL;CONCEPT;commencé, pas achevé — foi
Luc 16:16;SKN;57-0925;156;EXACT;CONCEPT;loi prophetes ont jean lors royaume annonce [couverture 7/13]
Matthieu 25:46;SKN;57-0925;17;PARTIEL;CONCEPT;commencé, pas achevé — ceux
Matthieu 25:46;SKN;57-0925;24;VALIDE;CONCEPT;ceux iront vie
Matthieu 25:46;SKN;57-0925;25;EXACT;CONCEPT;ceux iront justes vie eternelle [couverture 5/8]
Matthieu 28:19;SKN;57-0925;103;PARTIEL;CONCEPT;commencé, pas achevé — pere
Matthieu 28:19;SKN;57-0925;105;EXACT;CONCEPT;allez faites disciples nations baptisant nom pere fils [couverture 9/10]
Matthieu 28:19;SKN;57-0925;107;EXACT;CONCEPT;allez faites disciples nations baptisant nom pere fils [couverture 9/10]
