ref;traduction;code;paragraphe;statut;cadre;note
1 Corinthiens 11:28;SKN;59-0301E;137;EXACT;CONCEPT;moi jai seigneur cest jesus quil [couverture 7/14] [plage 23-32 éclatée]
1 Corinthiens 11:29;SKN;59-0301E;137;EXACT;CONCEPT;moi jai seigneur cest jesus quil [couverture 7/14] [plage 23-32 éclatée]
1 Corinthiens 11:30;SKN;59-0301E;137;EXACT;CONCEPT;moi jai seigneur cest jesus quil [couverture 7/14] [plage 23-32 éclatée]
1 Corinthiens 11:31;SKN;59-0301E;137;EXACT;CONCEPT;moi jai seigneur cest jesus quil [couverture 7/14] [plage 23-32 éclatée]
1 Corinthiens 11:32;SKN;59-0301E;137;EXACT;CONCEPT;moi jai seigneur cest jesus quil [couverture 7/14] [plage 23-32 éclatée]
1 Rois 19:1;SKN;59-0301E;22;VALIDE;CONCEPT;chapitre résolu v1 (4 mots: jezabel lepee prophetes tue)
1 Rois 19:9;SKN;59-0301E;22;VALIDE;CONCEPT;chapitre résolu v9 (6 mots: caverne elie entra leternel nuit passa)
1 Rois 19:10;SKN;59-0301E;22;VALIDE;CONCEPT;chapitre résolu v10 (12 mots: abandonne alliance armees autels cherchent disrael lepee leternel)
1 Rois 19:11;SKN;59-0301E;22;VALIDE;CONCEPT;chapitre résolu v11 (8 mots: leternel montagne passa rochers sors tiens tremblement vent)
1 Rois 19:12;SKN;59-0301E;22;VALIDE;CONCEPT;chapitre résolu v12 (3 mots: leternel tremblement voix)
1 Rois 19:13;SKN;59-0301E;22;VALIDE;CONCEPT;chapitre résolu v13 (9 mots: caverne elie lentendit lentree manteau sortit tint visage)
1 Rois 19:14;SKN;59-0301E;22;VALIDE;CONCEPT;chapitre résolu v14 (12 mots: abandonne alliance armees autels cherchent disrael lepee leternel)
1 Rois 19:19;SKN;59-0301E;22;VALIDE;CONCEPT;chapitre résolu v19 (4 mots: alla elie manteau passa)
1 Rois 19:21;SKN;59-0301E;22;VALIDE;CONCEPT;chapitre résolu v21 (3 mots: alla elie fit)
1 Corinthiens 11:24;SKN;63-0324M;283;VALIDE;CONCEPT;ceci corps moi
Actes 2:14;SKN;63-0324M;151;VALIDE;CONCEPT;chapitre résolu v14 (3 mots: onze parla setant)
Actes 2:38;SKN;63-0324M;148;EXACT;CONCEPT;pierre soit nom jesus saint esprit [couverture 6/14]
Apocalypse 5:9;SKN;63-0324M;268;EXACT;CONCEPT;chantent cantique nouveau disant digne prendre livre den [couverture 8/14]
Apocalypse 5:9;SKN;63-0324M;270;EXACT;CONCEPT;cantique nouveau disant digne prendre livre den ouvrir [couverture 9/14]
Apocalypse 6:6;SKN;63-0324M;102;PARTIEL;CONCEPT;commencé, pas achevé — lhuile
Apocalypse 6:6;SKN;63-0324M;282;EXACT;CONCEPT;jentendis voix milieu quatre mesure denier mesures dorge [couverture 9/14]
Apocalypse 6:11;SKN;63-0324M;271;VALIDE;CONCEPT;donne chacun robe blanche quils
Apocalypse 6:11;SKN;63-0324M;279;PARTIEL;CONCEPT;commencé, pas achevé — robe blanche
Apocalypse 7:14;SKN;63-0324M;280;EXACT;CONCEPT;dis seigneur ceux grande ont lave robes sang [couverture 8/14]
Apocalypse 11:3;SKN;63-0324M;329;PARTIEL;CONCEPT;commencé, pas achevé — deux temoins
Apocalypse 18:8;SKN;63-0324M;367;VALIDE;CONCEPT;cest seul mort sera dieu
Daniel 9:27;SKN;63-0324M;224;VALIDE;CONCEPT;semaine milieu fera
Genese 4:1;SKN;63-0324M;129;VALIDE;CONCEPT;connut eve femme concut enfanta cain jai homme
Luc 24:49;SKN;63-0324M;151;PARTIEL;CONCEPT;commencé, pas achevé — pere puissance
Malachie 3:1;SKN;63-0324M;263;VALIDE;CONCEPT;chapitre résolu v1 (4 mots: chemin messager prenez preparera)
Malachie 4:5;SKN;63-0324M;369;PARTIEL;CONCEPT;commencé, pas achevé — elie grand
Matthieu 22:11;SKN;63-0324M;323;PARTIEL;CONCEPT;commencé, pas achevé — homme noces
Matthieu 25:1;SKN;63-0324M;41;VALIDE;CONCEPT;chapitre résolu v1 (3 mots: dix lampes vierges)
Matthieu 25:3;SKN;63-0324M;41;VALIDE;CONCEPT;chapitre résolu v3 (3 mots: celles dhuile lampes)
Matthieu 28:19;SKN;63-0324M;148;EXACT;CONCEPT;nom pere fils saint esprit [couverture 5/10]
Matthieu 28:19;SKN;63-0324M;151;VALIDE;CONCEPT;allez faites disciples nations baptisant nom pere fils
1 Corinthiens 12:28;SKN;50-0823;30;VALIDE;CONCEPT;chapitre résolu v28 (3 mots: dons miracles prophetes)
1 Corinthiens 12:26;SKN;50-0827E;5;VALIDE;LECTURE;chapitre résolu v26 (4 mots: glorifie membre souffre souffrent)
1 Corinthiens 12:28;SKN;50-0827E;5;VALIDE;LECTURE;chapitre résolu v28 (4 mots: dabord dons lassemblee miracles)
1 Corinthiens 12:31;SKN;50-0827E;5;VALIDE;LECTURE;chapitre résolu v31 (5 mots: chemin dons excellent grands montre)
1 Corinthiens 12:28;SKN;52-0717;13;VALIDE;CONCEPT;chapitre résolu v28 (3 mots: dabord dons uns)
Esaie 35:1;SKN;52-0900;7;VALIDE;LECTURE;chapitre résolu v1 (4 mots: desert fleurira lallegresse rejouiront)
