ref;traduction;code;paragraphe;statut;raison
Zacharie 4:0;SKN;53-0729;263;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Hebreux 13:1;SKN;54-1207;47;REJETE;passage absent, idée absente
Jude 7:0;SKN;63-0623E;130;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esaie 18:1;SKN;64-0719M;207;REJETE;passage absent, idée absente
Galates 8:1;SKN;64-0719M;234;VERSET-ABSENT-BIBLE;référence inexistante, hypothèse faible
Malachie 4:0;SKN;64-0719M;48;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Ephesiens 5:1;SKN;65-0725M;166;REJETE;passage absent, idée absente
Genese 27:0;VGR;53-0729;156;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Jude 7:0;VGR;63-0623E;130;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Matthieu 22:20;VGR;63-0623E;60;REJETE;passage absent, idée absente
Apocalypse 10:1;VGR;64-0719M;128;REJETE;passage absent, idée absente
Esaie 18:1;VGR;64-0719M;283;REJETE;passage absent, idée absente
Esaie 27:0;VGR;64-0719M;21;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Galates 8:1;VGR;64-0719M;322;VERSET-ABSENT-BIBLE;référence inexistante, hypothèse faible
Luc 17:33;VGR;64-0719M;240;REJETE;passage absent, idée absente
Esther 90:0;SKN;65-1206;300;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;SKN;65-1206;213;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Psaumes 23:0;SKN;65-1206;167;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;VGR;65-0718E;126;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Amos 3:7;VGR;65-1127B;251;REJETE;passage absent, idée absente
Luc 30:0;VGR;65-1127B;322;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;VGR;65-1206;213;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Jude 5:0;SKN;63-1110M;24;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Ephesiens 5:26;SKN;65-0822E;19;REJETE;passage absent, idée absente
Nombres 19:9;SKN;65-0822E;19;REJETE;passage absent, idée absente
Jude 5:0;VGR;63-1110M;24;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
