ref;traduction;code;paragraphe;statut;raison
Daniel 59:0;VGR;61-0730E;90;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 61:0;VGR;61-0730E;101;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 63:0;VGR;61-0730E;108;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 65:0;VGR;61-0730E;113;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 67:0;VGR;61-0730E;119;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 69:0;VGR;61-0730E;128;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 71:0;VGR;61-0730E;131;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 73:0;VGR;61-0730E;133;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 75:0;VGR;61-0730E;139;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 77:0;VGR;61-0730E;145;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 79:0;VGR;61-0730E;153;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Daniel 81:0;VGR;61-0730E;157;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esaie 35:0;VGR;63-0317M;122;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;VGR;63-0317M;212;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;VGR;65-0124;124;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;VGR;65-0124;130;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;VGR;65-0124;171;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 21:0;SKN;64-0617;129;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;SKN;64-0617;157;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Jean 2:15;SKN;65-0919;175;REJETE;passage absent, idée absente
Jean 4:3;SKN;65-0919;183;REJETE;passage absent, idée absente
Jean 2:15;VGR;65-0919;175;REJETE;passage absent, idée absente
Jean 4:3;VGR;65-0919;183;REJETE;passage absent, idée absente
Daniel 12:0;VGR;55-0109E;5;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Deuteronome 32:1-12;SKN;59-0815;1;REJETE;passage absent, idée absente
Malachie 4:0;SKN;65-1128M;264;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;VGR;65-1128M;264;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Jude 4:0;SKN;53-0325;31;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Ephesiens 4:3;SKN;60-0221;135;REJETE;passage absent, idée absente
Esther 25:0;SKN;51-0506E;30;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 14:0;SKN;60-0522E;44;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;SKN;65-0418E;145;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Malachie 4:0;VGR;65-0418E;145;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 22:0;SKN;59-1126;73;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 12:0;SKN;62-0128M;64;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 11:0;SKN;62-0622B;39;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Jean 3:16;SKN;63-0412E;255;REJETE;passage absent, idée absente
Malachie 4:0;SKN;64-0404;144;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Psaumes 89:0;VGR;62-1223;68;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Jean 16:21;VGR;65-0125;24;REJETE;passage absent, idée absente
Esther 10:0;SKN;63-0801;179;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 11:0;SKN;49-1225;147;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 11:0;SKN;55-1003;21;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 14:0;SKN;47-1123;5;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 14:0;SKN;62-0721;4;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 16:0;SKN;57-0324;91;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 16:0;SKN;60-0717;79;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 16:0;SKN;62-0708;158;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
Esther 21:0;SKN;57-0417;106;CHAPITRE-SEUL;chapitre annoncé, verset non cité mot-à-mot
