ref;traduction;code;paragraphe;nb_mots;mots
Luc 11:24;SKN;53-0613;14;5;cherchant dou nen retournerai sorti
Luc 11:31;SKN;53-0613;14;5;condamnera entendre generation jugement vint
Luc 17:20;SKN;53-0613;14;5;attirer etant lattention royaume viendrait
Luc 17:27;SKN;53-0613;14;7;buvait donnait larche mangeait mariage noe vint
Luc 17:28;SKN;53-0613;14;3;arriva buvait mangeait
Luc 18:5;SKN;53-0613;14;3;cesse mennuie peur
Luc 18:43;SKN;53-0613;14;3;donna suivit vue
Luc 19:4;SKN;53-0613;14;4;allait courant monta passer
Luc 17:15;SKN;53-0614A;40;4;dentre glorifiant gueri haute
Luc 17:20;SKN;53-0614A;40;3;attirer lattention royaume
Luc 18:43;SKN;53-0614A;40;4;donna glorifiant louange vue
Luc 24:20;SKN;53-0614A;40;4;chefs condamne lont sacrificateurs
Luc 24:10;SKN;53-0729;63;3;furent magdala marie
Luc 16:24;SKN;53-0830E;2;4;aie leau pitie tourmente
Luc 2:25;SKN;53-0903;4;6;attendait consolation disrael jerusalem pieux simeon
Luc 2:27;SKN;53-0903;4;7;apportaient egard loi parents selon temple vint
Luc 2:34;SKN;53-0903;4;7;benit chute israel marie plusieurs relevement simeon
Luc 2:38;SKN;53-0903;4;5;attendaient delivrance jerusalem louait parlait
Luc 2:25;SKN;53-0903;17;4;attendait consolation disrael simeon
Luc 16:24;SKN;53-1104;21;3;aie pitie tourmente
Luc 2:25;SKN;53-1108E;3;6;attendait consolation disrael jerusalem pieux simeon
Luc 2:27;SKN;53-1108E;3;7;apportaient egard loi parents selon temple vint
Luc 2:4;SKN;53-1108E;15;3;bethlehem david judee
Luc 16:24;SKN;53-1108E;51;3;aie pitie tourmente
Luc 7:38;SKN;53-1112;13;3;cheveux pleurant tenant
Luc 7:45;SKN;53-1112;48;3;baiser mas pieds
Luc 2:39;SKN;53-1122;43;3;eurent nazareth sen
Luc 11:32;SKN;53-1129A;13;3;jonas ninive repentis
Luc 16:24;SKN;53-1129E;74;3;aie pitie tourmente
Luc 17:27;SKN;53-1201;24;3;mangeait mariage noe
Luc 17:27;SKN;53-1201;25;3;deluge larche noe
Luc 21:24;SKN;54-0103M;66;6;captifs jerusalem nations seront tomberont tranchant
Luc 21:24;SKN;54-0103M;67;4;captifs nations seront tranchant
Luc 21:24;SKN;54-0103M;73;8;captifs foulee jerusalem nations pieds seront tomberont tranchant
Luc 21:24;SKN;54-0103M;95;4;foulee jerusalem nations pieds
Luc 2:25;SKN;54-0220;23;6;attendait consolation disrael jerusalem pieux simeon
Luc 2:27;SKN;54-0220;23;7;apportaient egard loi parents selon temple vint
Luc 2:4;SKN;54-0220;27;3;bethlehem david judee
Luc 2:25;SKN;54-0220;52;4;attendait consolation disrael simeon
Luc 2:25;SKN;54-0220;53;4;attendait consolation disrael simeon
Luc 2:25;SKN;54-0228A;33;6;attendait consolation disrael jerusalem pieux simeon
Luc 2:27;SKN;54-0228A;33;7;apportaient egard loi parents selon temple vint
Luc 2:25;SKN;54-0228A;83;3;attendait consolation disrael
Luc 11:32;SKN;54-0302;43;3;jonas ninive repentis
Luc 18:5;SKN;54-0306;79;3;cesse neanmoins veuve
Luc 2:25;SKN;54-0401;19;6;attendait consolation disrael jerusalem pieux simeon
Luc 2:27;SKN;54-0401;19;7;apportaient egard loi parents selon temple vint
Luc 18:43;SKN;54-0402;15;3;recouvra suivit vue
Luc 11:32;SKN;54-0404M;12;3;jonas ninive repentis
Luc 18:43;SKN;54-0411;13;3;recouvra suivit vue
Luc 7:37;SKN;54-0512;165;3;plein table vase
Luc 24:32;SKN;54-0512;165;4;brulait chemin dedans parlait
Luc 18:40;SKN;54-0620E;16;4;amene arrete ordonna setant
Luc 18:43;SKN;54-0620E;16;6;glorifiant linstant recouvra suivit voyant vue
Luc 16:24;SKN;54-0718E;54;4;aie leau pitie tourmente
Luc 11:24;SKN;54-0719A;13;4;dou immonde nen sorti
Luc 16:24;SKN;54-0719A;13;4;aie leau pitie tourmente
Luc 17:27;SKN;54-0719A;13;4;jusquau mangeait mariage vint
Luc 21:36;SKN;54-0719A;13;4;arriver doivent priant veillez
Luc 24:17;SKN;54-0719A;13;3;marchant quels tenez
Luc 11:29;SKN;54-0721;12;3;generation jonas mechante
Luc 2:25;SKN;54-0725;8;6;attendait consolation disrael jerusalem pieux simeon
Luc 2:27;SKN;54-0725;8;7;apportaient egard loi parents selon temple vint
Luc 2:25;SKN;54-0804;1;6;attendait consolation disrael jerusalem pieux simeon
Luc 2:25;SKN;54-0804;13;4;attendait consolation disrael simeon
Luc 2:22;SKN;54-0804;29;3;jerusalem presenter purification
Luc 24:30;SKN;54-1003E;164;3;pain prit rompu
Luc 11:32;SKN;54-1006;59;4;condamneront generation jugement leveront
Luc 2:25;SKN;54-1206;9;6;attendait consolation disrael jerusalem pieux simeon
Luc 2:27;SKN;54-1206;9;6;apportaient egard loi selon temple vint
Luc 2:39;SKN;54-1219M;234;3;nazareth retournerent sen
Luc 10:9;SKN;54-1219M;234;4;approche infirmes royaume seront
Luc 10:11;SKN;54-1219M;234;3;approche royaume sachez
Luc 17:27;SKN;54-1219M;234;5;fit jusquau larche mangeait noe
Luc 18:43;SKN;54-1219M;234;3;glorifiant linstant vue
Luc 24:20;SKN;54-1219M;234;4;chefs crucifie principaux sacrificateurs
Luc 24:52;SKN;54-1219M;234;4;jerusalem joie retournerent sen
Luc 24:44;SKN;55-0123A;5;3;ecrites paroles psaumes
Luc 7:38;SKN;55-0123A;90;3;essuyait larmes pleurant
Luc 7:38;SKN;55-0301;28;3;baisers mit pieds
Luc 24:32;SKN;55-0302;16;6;brulait chemin dedans dirent lorsquil parlait
Luc 24:28;SKN;55-0410M;6;3;allaient loin village
Luc 24:32;SKN;55-0410M;7;5;brulait chemin dedans dirent parlait
Luc 24:32;SKN;55-0410M;14;4;brulait chemin dedans parlait
Luc 7:39;SKN;55-0626A;2;3;pecheresse touche voyant
Luc 11:29;SKN;55-0626E;6;3;generation jonas mechante
Luc 2:28;SKN;55-0724;16;3;benit bras prit
Luc 7:36;SKN;55-0807A;17;4;manger pharisien pharisiens pria
Luc 7:39;SKN;55-0807A;60;3;pharisien saurait voyant
Luc 7:45;SKN;55-0807A;61;3;baiser cesse pieds
Luc 7:45;SKN;55-0807A;62;3;baiser cesse pieds
Luc 2:25;SKN;55-0807E;33;3;attendait consolation disrael
Luc 18:43;SKN;55-0818;1;3;recouvra suivit vue
Luc 7:46;SKN;55-0828A;35;3;oint parfum pieds
Luc 7:38;SKN;55-0828A;41;3;larmes pieds pleurant
Luc 7:38;SKN;55-0828A;42;3;essuyait larmes pieds
Luc 7:38;SKN;55-0828A;43;4;cheveux essuyait larmes pieds
Luc 7:44;SKN;55-0828A;44;4;cheveux essuyes larmes pieds
Luc 7:44;SKN;55-0828A;46;6;cheveux essuyes larmes mas pieds simon
Luc 7:41;SKN;55-0911;118;4;creancier debiteurs deniers devait
Luc 7:42;SKN;55-0911;118;5;dette laimera lequel navaient payer
Luc 7:44;SKN;55-0911;118;8;cheveux deau essuyes larmes mas pieds simon tournant
Luc 7:45;SKN;55-0911;118;4;baiser cesse mas pieds
Luc 7:46;SKN;55-0911;118;4;dhuile nas parfum pieds
Luc 7:49;SKN;55-0911;118;5;memes mirent pardonne peches table
Luc 7:38;SKN;55-0911;301;4;cheveux essuyait larmes pieds
Luc 7:45;SKN;55-0911;311;3;baiser mas pieds
Luc 7:46;SKN;55-0911;312;3;dhuile nas pieds
Luc 7:45;SKN;55-0911;313;4;baiser cesse mas pieds
Luc 7:45;SKN;55-0911;318;3;baisers mas pieds
